text,label_aktual,label_prediksi,sentimen_prediksi,prob_negatif,prob_netral,prob_positif
Membalas Terima kasih untuk seluruh personil Polri di Polda Sumbar yang gak kenal lelah gelar bakti kesehatan. Semoga para warga terdampak segera pulih dan bangkit lagi Teruslah Melakukan Upaya Perbaikan demi masyarakat WujudkanSumateraPulih 44,2,2,positif,0.048000976,0.015318904,0.9366801
DAY 2 DISDIK ACEH SEUMEUGLEH BERSAMA ANAK-ANAK KORBAN BANJIR Puluhan Bocah Gp. Bukit Bata Pante Bidari Aceh Timur dengan penuh semangat bersama Dinas Pendidikan Aceh bergotong royong membersihkan Masjid Assa’adah yang terdampak banjir. DisdikAceh SeumeuglehSikula 53,0,0,negatif,0.87275296,0.017964369,0.10928277
"Akun parodi Karena mbak Sherly terus bersuara soal banjir Sumatera–Aceh, yang datang bukan bantahan, tapi teror dari para bajingan tolol, mobil dicoret, rumah dilempar telur busuk. . . . . Sepanjang 2025 Atep Anjing dtsen LHKPN Jelang Libur Tahun Baru 2026 PresidenOmon2Turunlah 7 10 11 1 rb",0,0,negatif,0.9391535,0.037936356,0.022910232
"Perjalanan Bantuan Sosial Dari Polda Sumsel Menuju Kab. Tapanuli Tengah Provinsi Sumatera Utara Untuk Korban Terdampak Banjir. Bila ada permasalahan dan butuh bantuan Polisi silahkan hubungi Call Center 110 (Bebas Pulsa) ""KAMI SIAP MELAYANI 24 JAM""",0,0,negatif,0.91951317,0.01737869,0.06310813
"Membalas dan 2 lainnya coba bayangkan tua hanyut behari2 diatas atap ga makan dan minum air banjir, begitu surut tua gapunya baju gapunya rumah, kelaparan, kehausan,kedinginan, ketakutan tiap malam ditengah kegelapan. Selama sebulan penuh, hidup berdampingan sama mayat yg busuk apakah orng tua kuat? 1 64",0,0,negatif,0.9526477,0.021851273,0.025501065
Tri Hita Karana adalah modal pokok kehidupan. Keseimbangn Hubungan 3 hal ini yg membuat harmonisasi hidup dan menghidupkan. PrayForSumatera PrayForIndonesia 20,1,2,positif,0.12563246,0.13132064,0.7430469
"Aksi Demo Damai Warga Korban Banjir Aceh Tamiang Tuntut Presiden Prabowo Menetapkan Bencana Nasional tuntasnews.net Aksi Demo Damai Warga Korban Banjir Aceh Tamiang Tuntut Presiden Prabowo Menetapkan Bencana Nasional Aceh Tamiang, Tuntas News.– Terdiri dari Ratusan Warga korban banjir dari berbagai desa di Aceh Tamiang menggelar aksi damai di halaman kantor Bupati, dipimpin oleh aktivis nasional Aprizal Rozi... 54",0,0,negatif,0.94728464,0.023157446,0.029557979
"Membalas dan Tolong bantu up sampai pemerintah pusat turun tangan untuk mengevakuasi korban bencana banjir sumatra. Jangan sumber daya alam kami saja yang dikeruk, menikmati fasilitasnya, tapi dampak dari ini semua, warga yang menanggung akibatnya PrayForSumatera 88",0,0,negatif,0.9439348,0.017429365,0.038635883
"Aceh Tamiang menjadi wilayah paling parah terdampak banjir bandang. Rumah warga porak-poranda, dan di sejumlah titik seluruh desa rata dengan tanah. Ternak seperti sapi dan kambing mati terkapar di jalan, sementara mayat korban masih tertimbun di bawah lumpur.",0,0,negatif,0.9516516,0.018653132,0.029695312
Membalas dan Padahal korban udah lebih dari 1000 dan ini tuh udah lebih dr 2 Minggu tapi proses evakuasi korban dan lumpur banjir di jalan aja berasa berhenti terutama banget buat daerah yg terisolir 1 3 714,0,0,negatif,0.95261145,0.02256908,0.02481944
