id,text,text_with_emoticon,sentimen,label,created_at,keyword
4833,"Selesai shalat zuhur berjamaah td ikut menshalatkan jenazah korban banjir yang tidak dpt diidentifikasi lagi, sedihh bgt ya allahhh  28","Selesai shalat zuhur berjamaah td ikut menshalatkan jenazah korban banjir yang tidak dpt diidentifikasi lagi, sedihh bgt ya allahhh 28",negatif,0,2025-12-10,banjir lagi ya
1166,"Kemenhut Bersihakan 1.272 Meter Gelondongan Kayu, Aceh Sumatra Bangkit 1 62","Kemenhut Bersihakan 1.272 Meter Gelondongan Kayu, Aceh Sumatra Bangkit 1 62",positif,2,2026-01-13,Sumatra
4063,salut sama dedikasi POLRI dalam menangani korban banjir di Sumatera. Semoga bantuan yg disalurkan bisa tepat sasaran dan bawa kebaikan utk semuanya 20,salut sama dedikasi POLRI dalam menangani korban banjir di Sumatera. Semoga bantuan yg disalurkan bisa tepat sasaran dan bawa kebaikan utk semuanya 20,negatif,0,2025-12-29,bantuan banjir
4768,"Ya Allah banjir lagi.  Hujan deras pada Rabu (24/12/2025) menyebabkan sejumlah sungai & waduk di Bireuen meluap, mengakibatkan puluhan desa di Pandrah, Jeunieb, Peulimbang & Jeumpa tergenang banjir.  ___ Merry Christmas   Natal  --- Aura Kasih Ridwan Kamil 1 3 6 917","Ya Allah banjir lagi. Hujan deras pada Rabu (24/12/2025) menyebabkan sejumlah sungai & waduk di Bireuen meluap, mengakibatkan puluhan desa di Pandrah, Jeunieb, Peulimbang & Jeumpa tergenang banjir. ___ Merry Christmas Natal --- Aura Kasih Ridwan Kamil 1 3 6 917",negatif,0,2025-12-25,banjir lagi ya
4519,"Tips Aman Menyalakan Listrik Setelah Banjir  Electrizen, pastikan rumah benar-benar aman sebelum menyalakan listrik kembali setelah rumah terendam banjir.  Yuk simak tips dari PLN!  #PLNUntukSemua #PLNUntukIndonesia #PrayforAceh #PrayforSumut #PrayforSumbar #PLNUIDSulselrabar 1 16","Tips Aman Menyalakan Listrik Setelah Banjir Electrizen, pastikan rumah benar-benar aman sebelum menyalakan listrik kembali setelah rumah terendam banjir. Yuk simak tips dari PLN! #PLNUntukSemua #PLNUntukIndonesia #PrayforAceh #PrayforSumut #PrayforSumbar #PLNUIDSulselrabar 1 16",netral,1,2025-12-05,rumah terendam
2638,"Janji Rumah Zulhas menjadi harapan korban banjir Sumatera saat Zulkifli Hasan menegaskan negara hadir membangun kembali rumah warga dan mempercepat pemulihan Kunjungi Padang, Zulhas Janji Pasokan Pangan 2 Kali Lipat untuk Korban Banjir Dari detik.com 14","Janji Rumah Zulhas menjadi harapan korban banjir Sumatera saat Zulkifli Hasan menegaskan negara hadir membangun kembali rumah warga dan mempercepat pemulihan Kunjungi Padang, Zulhas Janji Pasokan Pangan 2 Kali Lipat untuk Korban Banjir Dari detik.com 14",negatif,0,2025-12-14,banjir Padang
8311,"Menurut update BNPB pada 6 Desember 2025, korban tewas banjir dan longsor di Sumatera capai 914 jiwa (Aceh 359, Sumut 329, Sumbar 226), hilang 389 orang.","Menurut update BNPB pada 6 Desember 2025, korban tewas banjir dan longsor di Sumatera capai 914 jiwa (Aceh 359, Sumut 329, Sumbar 226), hilang 389 orang.",negatif,0,2025-12-06,Sumut
5560,"Siklon Tropis Senyar   #PrayForSumatera, #BanjirSumatera, #BanjirAceh   Apa sih siklon tropis senyar , yang menyebabkan hujan deras di daerah Sumatera ?   Siklon senyar adalah pusaran angin kuat di laut yang memicu  :    Hujan deras  Angin kencang  Gelombang tinggi Efeknya Tampilkan lebih banyak 56","Siklon Tropis Senyar #PrayForSumatera, #BanjirSumatera, #BanjirAceh Apa sih siklon tropis senyar , yang menyebabkan hujan deras di daerah Sumatera ? Siklon senyar adalah pusaran angin kuat di laut yang memicu : Hujan deras Angin kencang Gelombang tinggi Efeknya Tampilkan lebih banyak 56",netral,1,2025-12-06,#PrayForSumatera
2981,Toba Pulp Lestari sejauh ini selalu konsisten menjadi industri lestari. kita selayaknya mengapresiasi TPL. maju terus toba pulp.. bencana banjir Sumatera adalah pengingat. semoga tidak ada lagi kedepannya Buletin Medan (@buletinmedan) • Instagram reel Dari instagram.com 21,Toba Pulp Lestari sejauh ini selalu konsisten menjadi industri lestari. kita selayaknya mengapresiasi TPL. maju terus toba pulp.. bencana banjir Sumatera adalah pengingat. semoga tidak ada lagi kedepannya Buletin Medan (@buletinmedan) • Instagram reel Dari instagram.com 21,positif,2,2025-12-26,banjir
4267,"buat kang bengkel yg curang, gak jujur gw sumpahin ya lo pada rejekinya seret, bengkel lo bangkrut, dan lo sakit2an. masa motor baru gw service, udh ganti komponen2nya pake yg baru eh gk lama mogok lagi? pdhl gk prnh nabrak atau jatuh tapi rusak sendiri gitu aja 1 293","buat kang bengkel yg curang, gak jujur gw sumpahin ya lo pada rejekinya seret, bengkel lo bangkrut, dan lo sakit2an. masa motor baru gw service, udh ganti komponen2nya pake yg baru eh gk lama mogok lagi? pdhl gk prnh nabrak atau jatuh tapi rusak sendiri gitu aja 1 293",negatif,0,2025-12-16,motor mogok
4619,Banjir Bandang dan Tanah longsor menerjang Tapanuli tengah imbas dari hujan besar kemarin. Dikabarkan 4 warga meninggal dan ribuan rumah saat ini masih terendam 15 88 259 6 rb,Banjir Bandang dan Tanah longsor menerjang Tapanuli tengah imbas dari hujan besar kemarin. Dikabarkan 4 warga meninggal dan ribuan rumah saat ini masih terendam 15 88 259 6 rb,negatif,0,2025-11-26,rumah terendam
1578,banjir pluit bahkan dr jembatan 3 arah empo aj udah parah 1 431,banjir pluit bahkan dr jembatan 3 arah empo aj udah parah 1 431,negatif,0,2026-01-12,banjir parah
7787,"Udh berganti rezim, tapi masalah di konoha masih tetap ga pernah beres. Banjir makin parah, korupsi makin ngeri, ekonomi makin sempit. Rakyat2 yg susah bukan karna malas, tapi korban dari sistem yg ga bener. Padahal negri konoha kaya raya SDA nya.","Udh berganti rezim, tapi masalah di konoha masih tetap ga pernah beres. Banjir makin parah, korupsi makin ngeri, ekonomi makin sempit. Rakyat2 yg susah bukan karna malas, tapi korban dari sistem yg ga bener. Padahal negri konoha kaya raya SDA nya.",negatif,0,2026-01-13,banjir parah
1909,"Laporan jumlah korban meninggal dunia pada bencana banjir bandang dan longsor di Aceh, Sumatra Utara, dan Sumatra Barat perhari Jumat, 12 Desember 2025, mencapai 995 jiwa. Jumlah masyarakat yang mengungsi tercatat 884.800 jiwa. Hal terungkap dari data Badan Nasional Tampilkan lebih banyak 77","Laporan jumlah korban meninggal dunia pada bencana banjir bandang dan longsor di Aceh, Sumatra Utara, dan Sumatra Barat perhari Jumat, 12 Desember 2025, mencapai 995 jiwa. Jumlah masyarakat yang mengungsi tercatat 884.800 jiwa. Hal terungkap dari data Badan Nasional Tampilkan lebih banyak 77",negatif,0,2025-12-13,Banjir Sumatra 2025
140,Membalas  @negativisme Pesawat yg baru dibeli langsung ditugaskan ke lokasi bencana.  #PrayForSumatera 156,Membalas @negativisme Pesawat yg baru dibeli langsung ditugaskan ke lokasi bencana. #PrayForSumatera 156,positif,2,2025-11-28,#PrayForSumatera
7574,"INDONESIA SUDAH DIRUSAK ALAMNYA ,DISELURUH SABANG SAMPAI MEUROKE  BENCANA BANJIR BANDANG TERUS AKAN TERJADI SELAMA MUSIM HUJAN TINGGAL TUNGGU WAKTUNYA  LANTAS SIAPA YG PATUT DISALAHKAN TAK LAIN ADALAH PRESIDEN,PIM PARPOL,KEPALA DAERAH YG TERUS MEMBERI IZIN TAMBANG DAN PERKEBUNAN 86","INDONESIA SUDAH DIRUSAK ALAMNYA ,DISELURUH SABANG SAMPAI MEUROKE BENCANA BANJIR BANDANG TERUS AKAN TERJADI SELAMA MUSIM HUJAN TINGGAL TUNGGU WAKTUNYA LANTAS SIAPA YG PATUT DISALAHKAN TAK LAIN ADALAH PRESIDEN,PIM PARPOL,KEPALA DAERAH YG TERUS MEMBERI IZIN TAMBANG DAN PERKEBUNAN 86",negatif,0,2025-12-08,banjir terus
828,"Membalas  @infomitigasi Rumah sy dari bukit kalau selatan 300 meter kalau utara 500 meter,dg sungai 400 meter,sementara ini aman dari banjir besar,setelah dibangun waduk sermo 1 30","Membalas @infomitigasi Rumah sy dari bukit kalau selatan 300 meter kalau utara 500 meter,dg sungai 400 meter,sementara ini aman dari banjir besar,setelah dibangun waduk sermo 1 30",netral,1,2026-01-09,banjir besar
