id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason,need_review,arah,kategori,kategori_manual
36,"Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat. Presiden Prabowo Subianto melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra pada Rabu (31/12/2025). 1 68",netral,1,positif,90,Mengapresiasi komitmen dan kehadiran pemimpin di tengah rakyat terdampak bencana.,True,netral -> positif,Lainnya,
149,"Kerjain gw, buka fb,buka ig, buka tiktok, lihat akun2 teman gw di kampung, buat tau gimana kondisi disana. Hari ini masih banjir dan hujan pun masih turun tpi alhamdulillahnya ngk setinggi kemarin. Semoga cepat berakhir ujian ini #PrayForSumatera #prayforsumbar 117",positif,2,negatif,85,Menggambarkan kondisi banjir yang masih berlangsung dan harapan agar kesulitan segera berakhir.,True,positif -> negatif,Sarkasme,
161,"Pemerintah harus cepat tanggap membantu para korban bencana alam yang ada di seluruh Indonesia, khususnya di pulau Sumatera saat ini. #PrayForSumatera 1 32",positif,2,negatif,85,Menyatakan tuntutan agar pemerintah lebih cepat tanggap dalam membantu korban bencana.,True,positif -> negatif,Lainnya,
233,TNI masih bersihkan lumpur sisa banjir di Tapteng Aceh Sumatra Pulih 23,positif,2,netral,85,Menyajikan informasi faktual mengenai kegiatan pembersihan lumpur pasca-banjir.,True,positif -> netral,Sarkasme,
236,Membalas @ekowboy2 270 jembatan bailey? Berarti Ada 270 jembatan yang rusak Karena banjir bandang di Aceh. Sumut Dan Sumbar. Itu sedikit atau banyak ya? 1 191,negatif,0,netral,80,Mengajukan pertanyaan faktual mengenai skala kerusakan infrastruktur.,True,negatif -> netral,Lainnya,
293,Kerusakan hutan memperparah risiko banjir bandang Aceh Sumatera Update 25,negatif,0,netral,85,Menyajikan informasi faktual mengenai dampak kerusakan hutan terhadap risiko banjir.,True,negatif -> netral,Sarkasme,
309,Banjir bandang jadi alarm serius. Aceh Sumatera Update mencatat 12 perusahaan kini disorot terkait kerusakan lingkungan di wilayah Ace 16,negatif,0,netral,85,Menyajikan informasi faktual mengenai perusahaan yang disorot terkait kerusakan lingkungan.,True,negatif -> netral,Informational,
315,Satgas PKH ungkap 12 perusahaan perusak lingkungan di Aceh. Perusahaan itu diduga berkontribusi atas banjir bandang di Aceh Aceh Sumatera Update 21,negatif,0,netral,85,Menyajikan informasi faktual mengenai pengungkapan perusahaan perusak lingkungan.,True,negatif -> netral,Informational,
322,"Satgas PKH ungkap 12 perusahaan perusak lingkungan di Aceh, diduga berkontribusi atas banjir bandang, penegak hukum kini menyiapkan sanksi administratif hingga pidana, termasuk pencabutan izin dan penerapan UU Kehutanan. Aceh Sumatera Update 21",negatif,0,netral,85,Menyajikan informasi faktual mengenai pengungkapan perusahaan perusak lingkungan dan sanksi hukum.,True,negatif -> netral,Informational,
454,Pemerintah menyiapkan hunian tetap (huntap) gratis bagi warga terdampak banjir dan longsor di wilayah utara Sumatera yang kehilangan rumah. Huntap tipe 36 ini dibangun dengan APBN dan akan menjadi hak milik penerima. Saat ini pemerintah menunggu pendataan korban serta kesiapan l 143,positif,2,netral,95,Memberikan informasi faktual tentang bantuan pemerintah berupa hunian tetap bagi warga terdampak.,True,positif -> netral,Informational,
481,"Bareskrim Polri telah menetapkan tersangka dalam kasus pembalakan liar yang diduga menyebabkan banjir hebat di Sumatera Utara. Penetapan mencakup korporasi dan individu, dan pelaku akan dijerat dengan pidana lingkungan hidup serta TPPU. Bareskrim Polri tetapkan tersangka kasus pembalakan liar di Sumut Dari antaranews.com 5 30 33 103",positif,2,netral,95,Memberikan informasi faktual tentang penetapan tersangka kasus pembalakan liar.,True,positif -> netral,Apresiasi,
520,"Gubernur Aceh, Muzakir Manaf yang akrab disapa Mualem, meninjau langsung kesiapan bantuan alat berat di gudang transit Tanjung Morawa, Sumatera Utara. Alat-alat berat ini disiapkan khusus untuk menangani dampak kerusakan infrastruktur akibat banjir bandang yang melanda Aceh. Tampilkan lebih banyak 19 93 451 22 rb",positif,2,netral,95,Memberikan informasi faktual tentang peninjauan kesiapan bantuan alat berat oleh gubernur.,True,positif -> netral,Lainnya,
542,"Operasi Aman Nusa II, Brimob Batalyon A Evakuasi Puluhan Warga Terdampak Banjir di Tapanuli Tengah Tapanuli Tengah – Personel Batalyon A Satuan Brimob Polda Sumatera Utara bergerak cepat melakukan evakuasi warga yang terdampak banjir 41",positif,2,netral,95,Memberikan informasi faktual tentang operasi evakuasi warga terdampak banjir oleh Brimob.,True,positif -> netral,Lainnya,
559,"Sekretaris Kabinet (Seskab) Teddy Indra Wijaya menyebut, pembangunan rumah ini seiring dengan perbaikan fasilitas publik yang sempat rusak karena banjir bandang dan tanah longsor di Aceh, Sumatera Utara (Sumut), dan Sumatera Barat (Sumbar). Baca selengkapnya Tampilkan lebih banyak 1 826",negatif,0,netral,95,Memberikan informasi faktual tentang rencana pembangunan kembali fasilitas publik yang rusak.,True,negatif -> netral,Lainnya,
