id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason,need_review
6,Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas Tampilkan lebih banyak 14 561 726 15 rb,negatif,0,negatif,95,"Menggambarkan kesulitan, bahaya, dan skala kehancuran infrastruktur yang parah.",False
11,Kebenaran tentang banjir Sumatra Siklon Tropis pada Tahun 2025 Sumber: Death toll after tropical cyclones hit Indonesia's Sumatra rises to 442 - Nikkei Asia 45,netral,1,netral,90,Menyajikan informasi faktual mengenai banjir dan jumlah korban tanpa emosi.,False
13,"Warga Apresiasi Upaya Pemerintah Normalisasi Sungai Batang Kuranji di Sumbar: Bisa Nikmati Jalan Seperti Semula Jakarta - Sungai Batang Kuranji di Padang, Sumatra Barat, meluap hingga menyebabkan banjir bandang pada November 2025 lalu. Warga setempat bernama Asriluju bercerita, Tampilkan lebih banyak 1 493",positif,2,positif,90,Mengungkapkan apresiasi warga terhadap upaya pemerintah dalam penanganan pasca-banjir.,False
36,"Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat. Presiden Prabowo Subianto melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra pada Rabu (31/12/2025). 1 68",netral,1,positif,90,Mengapresiasi komitmen dan kehadiran pemimpin di tengah rakyat terdampak bencana.,True
49,"Membalas @iPopBase Ah baru banjir biasa, Belum bandang ke Sumatra... 6 2 rb",negatif,0,negatif,80,Mengandung sarkasme yang meremehkan tingkat keparahan banjir.,False
81,Membalas @detikcom Karena retreat di Magelang gagal total hal ini bisa dilihat dari respon masyarakat atas penanganan korban banjir bandang Sumatra Keberhasilan retreat Magelang hanya menciptakan manusia yg patuh thd pencitraan @prabowo dgn sikap penjilatnya Retreat di Hambalang hanya OMON OMON 18,negatif,0,negatif,95,Mengandung kritik tajam terhadap penanganan bencana dan pencitraan politik.,False
85,"PAKAR kebencanaan Universitas Gadjah Mada (UGM) Prof. Dwikorita Karnawati mengapresiasi progres pembangunan hunian sementara (huntara) bagi warga terdampak banjir bandang dan tanah longsor di Aceh, Pakar UGM Ingatkan Aspek Keselamatan dalam Pembangunan Huntara Sumatra Dari mediaindonesia.com 169",positif,2,positif,90,Mengungkapkan apresiasi terhadap progres pembangunan hunian sementara bagi korban.,False
126,"Membalas @pplpbinu Di tengah situasi yang penuh tantangan, bantuan ini diharapkan dapat memperkuat harapan, menumbuhkan semangat, serta mendukung proses pemulihan masyarakat agar dapat bangkit secara bertahap. #lpbinu #nupeduli #prayforsumatera #prayforaceh 6",positif,2,positif,95,"Menyampaikan harapan, semangat, dan dukungan untuk pemulihan masyarakat.",False
140,Membalas @negativisme Pesawat yg baru dibeli langsung ditugaskan ke lokasi bencana. #PrayForSumatera 156,positif,2,positif,85,Mengapresiasi tindakan cepat pemerintah dalam menugaskan bantuan ke lokasi bencana.,False
143,Membalas @KangManto123 Menunggu sampai jatuh korban berapa lagi sampai bencana ini di tetapkan sebagai bencana nasional wo @prabowo ???? #PrayForSumatera #BencanaNasional??? 2 2 4 307,negatif,0,negatif,90,Mengandung kritik dan pertanyaan sarkastik tentang lambatnya penetapan bencana nasional.,False
149,"Kerjain gw, buka fb,buka ig, buka tiktok, lihat akun2 teman gw di kampung, buat tau gimana kondisi disana. Hari ini masih banjir dan hujan pun masih turun tpi alhamdulillahnya ngk setinggi kemarin. Semoga cepat berakhir ujian ini #PrayForSumatera #prayforsumbar 117",positif,2,negatif,85,Menggambarkan kondisi banjir yang masih berlangsung dan harapan agar kesulitan segera berakhir.,True
161,"Pemerintah harus cepat tanggap membantu para korban bencana alam yang ada di seluruh Indonesia, khususnya di pulau Sumatera saat ini. #PrayForSumatera 1 32",positif,2,negatif,85,Menyatakan tuntutan agar pemerintah lebih cepat tanggap dalam membantu korban bencana.,True
166,"Akun komentar UPDATE KORBAN JIWA Perkembangan terkini total korban jiwa bencana Sumatera, angka terus bertambah Ayo bangkit sumatera kita pasti bisa #PrayForSumatra #PrayForSumatera #AllEyesOnSumatera #SumateraBangkit 3 6 578",positif,2,positif,90,Menyampaikan seruan untuk bangkit dan memberikan semangat kepada Sumatera.,False
