id,text_with_emoticon,sentimen_old,label_old,label_llm,confidence,reason
6,Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas Tampilkan lebih banyak 14 561 726 15 rb,negatif,0,negatif,73,(dry-run) label simulasi untuk id 6
11,Kebenaran tentang banjir Sumatra Siklon Tropis pada Tahun 2025 Sumber: Death toll after tropical cyclones hit Indonesia's Sumatra rises to 442 - Nikkei Asia 45,netral,1,netral,56,(dry-run) label simulasi untuk id 11
13,"Warga Apresiasi Upaya Pemerintah Normalisasi Sungai Batang Kuranji di Sumbar: Bisa Nikmati Jalan Seperti Semula Jakarta - Sungai Batang Kuranji di Padang, Sumatra Barat, meluap hingga menyebabkan banjir bandang pada November 2025 lalu. Warga setempat bernama Asriluju bercerita, Tampilkan lebih banyak 1 493",positif,2,negatif,81,(dry-run) label simulasi untuk id 13
36,"Menutup tahun 2025, Presiden Prabowo Subianto kembali menunjukkan komitmen kepemimpinan yang hadir di tengah rakyat. Presiden Prabowo Subianto melakukan peninjauan ke wilayah terdampak bencana banjir di Pulau Sumatra pada Rabu (31/12/2025). 1 68",netral,1,netral,93,(dry-run) label simulasi untuk id 36
49,"Membalas @iPopBase Ah baru banjir biasa, Belum bandang ke Sumatra... 6 2 rb",negatif,0,negatif,88,(dry-run) label simulasi untuk id 49
81,Membalas @detikcom Karena retreat di Magelang gagal total hal ini bisa dilihat dari respon masyarakat atas penanganan korban banjir bandang Sumatra Keberhasilan retreat Magelang hanya menciptakan manusia yg patuh thd pencitraan @prabowo dgn sikap penjilatnya Retreat di Hambalang hanya OMON OMON 18,negatif,0,negatif,83,(dry-run) label simulasi untuk id 81
85,"PAKAR kebencanaan Universitas Gadjah Mada (UGM) Prof. Dwikorita Karnawati mengapresiasi progres pembangunan hunian sementara (huntara) bagi warga terdampak banjir bandang dan tanah longsor di Aceh, Pakar UGM Ingatkan Aspek Keselamatan dalam Pembangunan Huntara Sumatra Dari mediaindonesia.com 169",positif,2,negatif,72,(dry-run) label simulasi untuk id 85
126,"Membalas @pplpbinu Di tengah situasi yang penuh tantangan, bantuan ini diharapkan dapat memperkuat harapan, menumbuhkan semangat, serta mendukung proses pemulihan masyarakat agar dapat bangkit secara bertahap. #lpbinu #nupeduli #prayforsumatera #prayforaceh 6",positif,2,positif,95,(dry-run) label simulasi untuk id 126
140,Membalas @negativisme Pesawat yg baru dibeli langsung ditugaskan ke lokasi bencana. #PrayForSumatera 156,positif,2,positif,95,(dry-run) label simulasi untuk id 140
143,Membalas @KangManto123 Menunggu sampai jatuh korban berapa lagi sampai bencana ini di tetapkan sebagai bencana nasional wo @prabowo ???? #PrayForSumatera #BencanaNasional??? 2 2 4 307,negatif,0,negatif,73,(dry-run) label simulasi untuk id 143
149,"Kerjain gw, buka fb,buka ig, buka tiktok, lihat akun2 teman gw di kampung, buat tau gimana kondisi disana. Hari ini masih banjir dan hujan pun masih turun tpi alhamdulillahnya ngk setinggi kemarin. Semoga cepat berakhir ujian ini #PrayForSumatera #prayforsumbar 117",positif,2,positif,79,(dry-run) label simulasi untuk id 149
161,"Pemerintah harus cepat tanggap membantu para korban bencana alam yang ada di seluruh Indonesia, khususnya di pulau Sumatera saat ini. #PrayForSumatera 1 32",positif,2,netral,72,(dry-run) label simulasi untuk id 161
166,"Akun komentar UPDATE KORBAN JIWA Perkembangan terkini total korban jiwa bencana Sumatera, angka terus bertambah Ayo bangkit sumatera kita pasti bisa #PrayForSumatra #PrayForSumatera #AllEyesOnSumatera #SumateraBangkit 3 6 578",positif,2,positif,79,(dry-run) label simulasi untuk id 166
189,"Akhirnya Warga Terdampak Banjir di Aceh Tamiang Mulai Menempati Huntara ! Setelah lebih dari sebulan tinggal di tenda, sekarang warga mulai nempatin huntara dari Danantara. Rika Jahara salah satunya yang merasa senang dan bersyukur banget bisa tinggal di huntara. Tampilkan lebih banyak 6 12 52 9 rb",positif,2,netral,81,(dry-run) label simulasi untuk id 189
196,"Membalas @tijabar Solusi tepat! Warga Aceh Tamiang bisa pilih huntara terpusat atau in-situ, sesuai kebutuhan dan preferensi. Terima kasih, Pak Prabowo, atas perhatian dan prioritas untuk penyediaan hunian! #Prabowo #AcehTamiang #Banjir 87",positif,2,netral,99,(dry-run) label simulasi untuk id 196
233,TNI masih bersihkan lumpur sisa banjir di Tapteng Aceh Sumatra Pulih 23,positif,2,positif,81,(dry-run) label simulasi untuk id 233
236,Membalas @ekowboy2 270 jembatan bailey? Berarti Ada 270 jembatan yang rusak Karena banjir bandang di Aceh. Sumut Dan Sumbar. Itu sedikit atau banyak ya? 1 191,negatif,0,negatif,60,(dry-run) label simulasi untuk id 236
259,𝐊𝐨𝐫𝐛𝐚𝐧 𝐁𝐚𝐧𝐣𝐢𝐫 𝐀𝐜𝐞𝐡 ‘𝐉𝐚𝐝𝐢 𝐓𝐞𝐧𝐭𝐚𝐫𝐚’ 𝐁𝐞𝐫𝐤𝐚𝐭 𝐃𝐨𝐧𝐚𝐬𝐢 𝐁𝐚𝐣𝐮 𝐃𝐚𝐫𝐢 𝐑𝐞𝐥𝐚𝐰𝐚𝐧 Sebuah momen mengharukan dari wilayah terdampak banjir di Aceh menjadi perhatian warganet. 2 pria korban banjir tampak tersenyum bahagia setelah menerima Tampilkan lebih banyak 94,positif,2,positif,59,(dry-run) label simulasi untuk id 259
262,Brimob Aceh BKO Ops Aman Nusa II Bergerak Cepat Pulihkan Permukiman Warga Tamiang Pasca Banjir 1 23,positif,2,positif,70,(dry-run) label simulasi untuk id 262
271,"Pemerintah terus bekerja keras pulihkan Sumatra pasca bencana banjir, bukti Pemerintah Sigap untuk Aceh Sumatra 1 29",positif,2,positif,82,(dry-run) label simulasi untuk id 271
277,"*Di Tengah Lumpur dan Harapan, Polri Bersama Warga Buka Akses Jalan Kampung Setie Pascabencana* Bener Meriah — Kepolisian Resor Bener Meriah bersama personel Satuan Brimob Polda Aceh turun langsung membantu masyarakat membersihkan akses jalan yang tertutup material banjir 1 33",positif,2,positif,57,(dry-run) label simulasi untuk id 277
280,"Jembatan penghubung di Desa Alue Leuhob, Cot Girek, Aceh Utara, rusak parah sejak banjir November 2025. Hingga kini belum ada perbaikan. Anak-anak dan warga terpaksa melewati jalur alternatif dengan arus sungai yang sangat kencang. Baru-baru ini, satu anak terseret Editor: Tampilkan lebih banyak 0:50 1 1 363",negatif,0,negatif,82,(dry-run) label simulasi untuk id 280
