text,clean_text,created_at,keyword,processed_text,sentimen,label,emoticon,has_truncation,has_mention,has_hashtag,has_url,has_unicode,has_engagement,has_html,llm_completed_text,llm_status,regex_text,processed_text_v2
"Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025. Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH. Presiden, Mentri, Taipan Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus semua. 72",polisi sulit menemukan siapa pemilik kayu yg menyebabkan banjir sumatra akhir rakyat polisi goblok percuma sekolah itu di bpn kan ada siapa pemilik lahan hph presiden mentri taipan pemegang hph pengusaha sawit emang gak niat ungkap krn kelas paus semua,2026-01-13,Banjir Sumatra 2025,polisi sulit temu siapa milik kayu sebab banjir sumatra akhir rakyat polisi goblok percuma sekolah bpn kan siapa milik lahan hph presiden tri taipan pegang hph usaha sawit emang gak niat ungkap krn kelas paus semua,negatif,0,,False,False,False,False,False,False,False,"Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025. Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH. Presiden, Mentri, Taipan Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus semua. 72",unchanged,"Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025. Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH. Presiden, Mentri, Taipan Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus semua.","Polisi : Sulit menemukan siapa pemilik kayu yang menyebabkan banjir Sumatra akhir 2025. Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH. Presiden, Mentri, Taipan Pemegang HPH, Pengusaha Sawit. Memang enggak niat ungkap, karena kelas Paus semua."
"Seorang Ibu harus memanjat tebing demi membawa bayinya ke Puskesmas. Gampong (Desa) Sikundo, Aceh Barat, masih terisolasi. Jalan dan jembatan terputus. Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas. Banjir dan longsor Aceh akibat Siklon 46",seorang ibu harus memanjat tebing demi membawa bayinya ke puskesmas gampong desa sikundo aceh barat masih terisolasi jalan dan jembatan terputus warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas banjir dan longsor aceh akibat siklon tampilkan lebih banyak rb rb rb,2026-01-13,Banjir Sumatra 2025,orang ibu panjat tebing bawa bayi puskesmas gampong desa sikundo aceh barat isolasi jalan jembatan putus warga paksa gang tali tepi sungai tebing lintas banjir longsor aceh akibat siklon tampil lebih banyak   ,negatif,0,,False,False,False,False,False,False,False,"Seorang Ibu harus memanjat tebing demi membawa bayinya ke Puskesmas. Gampong (Desa) Sikundo, Aceh Barat, masih terisolasi. Jalan dan jembatan terputus. Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas. Banjir dan longsor Aceh akibat Siklon 46",unchanged,"Seorang Ibu harus memanjat tebing demi membawa bayinya ke Puskesmas. Gampong (Desa) Sikundo, Aceh Barat, masih terisolasi. Jalan dan jembatan terputus. Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas. Banjir dan longsor Aceh akibat Siklon","Seorang Ibu harus memanjat tebing demi membawa bayinya ke Puskesmas. Gampong (Desa) Sikundo, Aceh Barat, masih terisolasi. Jalan dan jembatan terputus. Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas. Banjir dan longsor Aceh akibat Siklon"
WASPADA BANJIR PESISIR Durasi: 13 - 20 Januari 2026 2 3 803,waspada banjir pesisir durasi januari,2026-01-13,Banjir Sumatra 2025,waspada banjir pesisir durasi januari,netral,1,,False,False,False,False,False,False,False,WASPADA BANJIR PESISIR Durasi: 13 - 20 Januari 2026 2 3 803,unchanged,WASPADA BANJIR PESISIR Durasi: 13 - 20 Januari,WASPADA BANJIR PESISIR Durasi: 13 - 20 Januari
"Konsistensi Toba Pulp Lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung, industri lestari seperti TPL adalah masa depan, bencana Sumatera 2025 harus jd pengingat bagi kita semua.. Pakar Unpad: Penguatan Pengelolaan DAS Mendesak untuk Tekan Dampak Banjir di Sumatra - Tribunnews... 42",konsistensi toba pulp lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung industri lestari seperti tpl adalah masa depan bencana sumatera harus jd pengingat bagi kita semua pakar unpad penguatan pengelolaan das mendesak untuk tekan dampak banjir di sumatra tribunnews dari tribunnews com,2026-01-12,Banjir Sumatra 2025,konsistensi toba pulp lestari terap prinsip lanjut operasi usaha pantas apresiasi dukung industri lestari tpl masa depan bencana sumatera jd ingat semua pakar unpad kuat kelola das desak tekan dampak banjir sumatra tribunnews tribunnews com,netral,1,,True,False,False,False,False,False,False,"Konsistensi Toba Pulp Lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung, industri lestari seperti TPL adalah masa depan, bencana Sumatera 2025 harus jd pengingat bagi kita semua.. Pakar Unpad: Penguatan Pengelolaan DAS Mendesak untuk Tekan Dampak Banjir di Sumatra.",completed,"Konsistensi Toba Pulp Lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung, industri lestari seperti TPL adalah masa depan, bencana Sumatera 2025 harus jd pengingat bagi kita semua.. Pakar Unpad: Penguatan Pengelolaan DAS Mendesak untuk Tekan Dampak Banjir di Sumatra.","Konsistensi Toba Pulp Lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung, industri lestari seperti TPL adalah masa depan, bencana Sumatera 2025 harus jadi pengingat bagi kita semua.. Pakar Unpad: Penguatan Pengelolaan DAS Mendesak untuk Tekan Dampak Banjir di Sumatra."
"BANJIR bandang yang menghancurkan kawasan Aceh, Sumatra Utara, dan Sumatra Barat pada 26-26 November 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25.905 Rumah di Aceh Timur Rusak akibat Banjir Sumatra, Ribuan Huntara Segera Dibangun 1 221",banjir bandang yang menghancurkan kawasan aceh sumatra utara dan sumatra barat pada november lalu telah menyisakan kesedihan ratusan ribu korban terdampak rumah di aceh timur rusak akibat banjir sumatra ribuan huntara segera dibangun dari mediaindonesia com,2026-01-12,Banjir Sumatra 2025,banjir bandang hancur kawasan aceh sumatra utara sumatra barat november lalu sisa sedih ratus ribu korban dampak rumah aceh timur rusak akibat banjir sumatra ribu huntara segera bangun mediaindonesia com,negatif,0,,False,False,False,False,False,False,False,"BANJIR bandang yang menghancurkan kawasan Aceh, Sumatra Utara, dan Sumatra Barat pada 26-26 November 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25.905 Rumah di Aceh Timur Rusak akibat Banjir Sumatra, Ribuan Huntara Segera Dibangun 1 221",unchanged,"BANJIR bandang yang menghancurkan kawasan Aceh, Sumatra Utara, dan Sumatra Barat pada 26-26 November 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25.905 Rumah di Aceh Timur Rusak akibat Banjir Sumatra, Ribuan Huntara Segera Dibangun","BANJIR bandang yang menghancurkan kawasan Aceh, Sumatra Utara, dan Sumatra Barat pada 26-26 November 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25.905 Rumah di Aceh Timur Rusak akibat Banjir Sumatra, Ribuan Huntara Segera Dibangun"
"Be honest, what do you see? This isn’t the result of a natural disaster. It’s a landscape teetering on the edge of an ecosystem collapse. We have to prevent this from happening again. Aceh, Sumatra One month after flash floods and landslides in November 2025. 40",be honest what do you see this isn t the result of a natural disaster it s a landscape teetering on the edge of an ecosystem collapse we have to prevent this from happening again aceh sumatra one month after flash floods and landslides in november tampilkan lebih banyak rb rb rb,2026-01-11,Banjir Sumatra 2025,be honest what do you see this isn t the result of a natural disaster it s a landscape teetering on the edge of an ecosystem collapse we have to prevent this from happening again aceh sumatra one month after flash floods and landslides in november tampil lebih banyak   ,negatif,0,,False,False,False,False,False,False,False,"Be honest, what do you see? This isn’t the result of a natural disaster. It’s a landscape teetering on the edge of an ecosystem collapse. We have to prevent this from happening again. Aceh, Sumatra One month after flash floods and landslides in November 2025. 40",unchanged,"Be honest, what do you see? This isn’t the result of a natural disaster. It’s a landscape teetering on the edge of an ecosystem collapse. We have to prevent this from happening again. Aceh, Sumatra One month after flash floods and landslides in November 2025.","Be honest, what di you sih? This isn’t the result of a natural disaster. It’s a landscape teetering on the edge of an ecosystem collapse. We have tapi prevent this from happening again. Aceh, Sumatra One month after flash floods and landslides ini November 2025."
Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas 14 561 726,masyarakat aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan skala kehancuran infrastruktur di aceh akibat banjir besar aceh sumatra nov melampaui bencana tsunami sebanyak ruas tampilkan lebih banyak rb,2026-01-10,Banjir Sumatra 2025,masyarakat aceh paksa angkut barang dagang butuh lain lewat medan bahaya akibat putus akses jalan jembatan skala hancur infrastruktur aceh akibat banjir besar aceh sumatra lampau bencana tsunami banyak ruas tampil lebih banyak ,negatif,0,,False,False,False,False,False,False,False,Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas 14 561 726,unchanged,Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas,Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas
"Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan 1 162",melalui nurani astra astra bersama grup astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di aceh sumatra utara dan sumatra barat bantuan ini melanjutkan tahap pertama yang telah dimulai sejak desember dan tampilkan lebih banyak,2026-01-10,Banjir Sumatra 2025,lalu nurani astra astra sama grup astra salur bantu tanggap darurat lanjut masyarakat dampak banjir bandang tanah longsor aceh sumatra utara sumatra barat bantu lanjut tahap pertama mulai sejak desember tampil lebih banyak,positif,2,,False,False,False,False,False,False,False,"Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan 1 162",unchanged,"Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan","Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan"
"BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung 2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Bener Meriah, Aceh. #ugm #ews #meriahbener #aceh #pkm UGM Pasang EWS Banjir di Bener Meriah 1 56",banjir susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di sumatra bahkan di penghujung selasa hujan deras kembali mengguyur kabupaten bener meriah aceh ugm ews meriahbener aceh pkm ugm pasang ews banjir di bener meriah dari mimbarnusantara com,2026-01-10,Banjir Sumatra 2025,banjir susul jadi khawatir masyarakat jumlah wilayah dampak bencana sumatra bahkan hujung selasa hujan deras guyur kabupaten bener riah aceh ugm ews meriahbener aceh pkm ugm pasang ews banjir bener riah mimbarnusantara com,netral,1,,False,False,True,False,False,False,False,"BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung 2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Bener Meriah, Aceh. #ugm #ews #meriahbener #aceh #pkm UGM Pasang EWS Banjir di Bener Meriah 1 56",unchanged,"BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung 2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Bener Meriah, Aceh. ugm ews meriahbener aceh pkm UGM Pasang EWS Banjir di Bener Meriah","BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung 2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Benar Meriah, Aceh. ugm ews meriahbener aceh pkm UGM Pasang EWS Banjir di Benar Meriah"
"Akun komentar Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. 42",akun komentar belum ada shalat berjamaah di mesjid ini sejak bencana banjir nasional aceh sumatra november gampong desa rawe lut tawar aceh tengah,2026-01-09,Banjir Sumatra 2025,akun komentar shalat jamaah mesjid sejak bencana banjir nasional aceh sumatra november gampong desa rawe lut tawar aceh tengah,netral,1,,False,False,False,False,False,False,False,"Akun komentar Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. 42",unchanged,"Akun komentar Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah.","Akun komentar Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah."
