text,clean_text,sentimen,label
"Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025. Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH. Presiden, Mentri, Taipan Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus semua. 72",polisi sulit menemukan siapa pemilik kayu yang menyebabkan banjir sumatra akhir 2025 rakyat polisi goblok percuma sekolah itu di bpn kan ada siapa pemilik lahan hph presiden mentri taipan pemegang hph pengusaha sawit memang enggak niat ungkap karena kelas paus semua 72,Negatif,0
"Seorang Ibu harus memanjat tebing demi membawa bayinya ke Puskesmas. Gampong (Desa) Sikundo, Aceh Barat, masih terisolasi. Jalan dan jembatan terputus. Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas. Banjir dan longsor Aceh akibat Siklon 46",seorang ibu harus memanjat tebing demi membawa bayinya ke puskesmas gampong desa sikundo aceh barat masih terisolasi jalan dan jembatan terputus warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas banjir dan longsor aceh akibat siklon 46,Negatif,0
WASPADA BANJIR PESISIR Durasi: 13 - 20 Januari 2026 2 3 803,waspada banjir pesisir durasi 13 20 januari 2026 2 3 803,Netral,1
"Konsistensi Toba Pulp Lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung, industri lestari seperti TPL adalah masa depan, bencana Sumatera 2025 harus jd pengingat bagi kita semua.. Pakar Unpad: Penguatan Pengelolaan DAS Mendesak untuk Tekan Dampak Banjir di Sumatra - Tribunnews... 42",konsistensi toba pulp lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung industri lestari seperti tpl adalah masa depan bencana sumatera 2025 harus jadi pengingat bagi kita semua pakar unpad penguatan pengelolaan das mendesak untuk tekan dampak banjir di sumatra tribunnews 42,Netral,1
"BANJIR bandang yang menghancurkan kawasan Aceh, Sumatra Utara, dan Sumatra Barat pada 26-26 November 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25.905 Rumah di Aceh Timur Rusak akibat Banjir Sumatra, Ribuan Huntara Segera Dibangun 1 221",banjir bandang yang menghancurkan kawasan aceh sumatra utara dan sumatra barat pada 26 26 november 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25 905 rumah di aceh timur rusak akibat banjir sumatra ribuan huntara segera dibangun 1 221,Negatif,0
"Be honest, what do you see? This isn’t the result of a natural disaster. It’s a landscape teetering on the edge of an ecosystem collapse. We have to prevent this from happening again. Aceh, Sumatra One month after flash floods and landslides in November 2025. 40",be honest what di you sih this isn t the result of a natural disaster itu si a landscape teetering on the edge of an ecosystem collapse we have tapi prevent this from happening again aceh sumatra one month after flash floods and landslides ini november 2025 40,Negatif,0
Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas 14 561 726,masyarakat aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan skala kehancuran infrastruktur di aceh akibat banjir besar aceh sumatra nov 2025 melampaui bencana tsunami 2004 sebanyak 461 ruas 14 561 726,Negatif,0
"Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan 1 162",melalui nurani astra astra bersama grup astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di aceh sumatra utara dan sumatra barat bantuan ini melanjutkan tahap pertama yang telah dimulai sejak desember 2025 dan 1 162,Positif,2
"BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung 2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Bener Meriah, Aceh. #ugm #ews #meriahbener #aceh #pkm UGM Pasang EWS Banjir di Bener Meriah 1 56",banjir susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di sumatra bahkan di penghujung 2025 selasa 30 12 hujan deras kembali mengguyur kabupaten benar meriah aceh ugm ews meriahbener aceh pkm ugm pasang ews banjir di benar meriah 1 56,Netral,1
"Akun komentar Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. 42",akun komentar belum ada shalat berjamaah di mesjid ini sejak bencana banjir nasional aceh sumatra november 26 2025gampong desa rawe lut tawar aceh tengah 42,Netral,1
