text,reconstructed_text,clean_text,label
"Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025. Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH. Presiden, Mentri, Taipan Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus semua. 72","Polisi : Sulit menemukan siapa pemilik kayu yg menyebabkan banjir Sumatra akhir 2025. Rakyat : Polisi Goblok, Percuma sekolah, Itu di BPN kan ada siapa pemilik lahan HPH. Presiden, Mentri, Taipan Pemegang HPH, Pengusaha Sawit. Emang gak niat ungkap, krn kelas Paus semua. 72","polisi sulit menemukan siapa pemilik kayu menyebabkan banjir sumatra akhir 2025. rakyat polisi goblok, percuma sekolah, bpn kan ada siapa pemilik lahan hph. presiden, mentri, taipan pemegang hph, pengusaha sawit. memang enggak niat ungkap, kelas paus semua. 72",0
"Seorang Ibu harus memanjat tebing demi membawa bayinya ke Puskesmas. Gampong (Desa) Sikundo, Aceh Barat, masih terisolasi. Jalan dan jembatan terputus. Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas. Banjir dan longsor Aceh akibat Siklon 46","Seorang Ibu harus memanjat tebing demi membawa bayinya ke Puskesmas. Gampong (Desa) Sikundo, Aceh Barat, masih terisolasi. Jalan dan jembatan terputus. Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas. Banjir dan longsor Aceh akibat Siklon 46","seorang ibu harus memanjat tebing demi membawa bayinya puskesmas. gampong desa sikundo, aceh barat, masih terisolasi. jalan jembatan terputus. warga terpaksa berpegangan tali tepi sungai tebing melintas. banjir longsor aceh akibat siklon 46",0
WASPADA BANJIR PESISIR Durasi: 13 - 20 Januari 2026 2 3 803,WASPADA BANJIR PESISIR Durasi: 13 - 20 Januari 2026 2 3 803,waspada banjir pesisir durasi 13 20 januari 2026 803,1
"Konsistensi Toba Pulp Lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung, industri lestari seperti TPL adalah masa depan, bencana Sumatera 2025 harus jd pengingat bagi kita semua.. Pakar Unpad: Penguatan Pengelolaan DAS Mendesak untuk Tekan Dampak Banjir di Sumatra - Tribunnews... 42","Konsistensi Toba Pulp Lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi dan didukung, industri lestari seperti TPL adalah masa depan, bencana Sumatera 2025 harus jd pengingat bagi kita semua.. Pakar Unpad: Penguatan Pengelolaan DAS Mendesak untuk Tekan Dampak Banjir di Sumatra.","konsistensi toba pulp lestari menerapkan prinsip keberlanjutan dalam operasi usahanya pantas diapresiasi didukung, industri lestari seperti tpl masa depan, bencana sumatera 2025 harus jadi pengingat bagi semua.. pakar unpad penguatan pengelolaan das mendesak tekan dampak banjir sumatra.",1
"BANJIR bandang yang menghancurkan kawasan Aceh, Sumatra Utara, dan Sumatra Barat pada 26-26 November 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25.905 Rumah di Aceh Timur Rusak akibat Banjir Sumatra, Ribuan Huntara Segera Dibangun 1 221","BANJIR bandang yang menghancurkan kawasan Aceh, Sumatra Utara, dan Sumatra Barat pada 26-26 November 2025 lalu telah menyisakan kesedihan ratusan ribu korban terdampak 25.905 Rumah di Aceh Timur Rusak akibat Banjir Sumatra, Ribuan Huntara Segera Dibangun 1 221","banjir bandang menghancurkan kawasan aceh, sumatra utara, sumatra barat 26-26 november 2025 lalu menyisakan kesedihan ratusan ribu korban terdampak 25.905 rumah aceh timur rusak akibat banjir sumatra, ribuan huntara segera dibangun 221",0
"Be honest, what do you see? This isn’t the result of a natural disaster. It’s a landscape teetering on the edge of an ecosystem collapse. We have to prevent this from happening again. Aceh, Sumatra One month after flash floods and landslides in November 2025. 40","Be honest, what do you see? This isn’t the result of a natural disaster. It’s a landscape teetering on the edge of an ecosystem collapse. We have to prevent this from happening again. Aceh, Sumatra One month after flash floods and landslides in November 2025. 40","be honest, what you see? this isn the result of natural disaster. si landscape teetering on the edge of an ecosystem collapse. we have tapi prevent this from happening again. aceh, sumatra one month after flash floods and landslides november 2025. 40",0
Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas 14 561 726,Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan. Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas 14 561 726,masyarakat aceh terpaksa mengangkut barang dagangan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan jembatan. skala kehancuran infrastruktur aceh akibat banjir besar aceh–sumatra nov 2025 melampaui bencana tsunami 2004. sebanyak 461 ruas 14 561 726,0
"Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan 1 162","Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan 1 162","melalui nurani astra, astra bersama grup astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang tanah longsor aceh, sumatra utara, sumatra barat. bantuan melanjutkan tahap pertama dimulai sejak desember 2025 162",2
"BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung 2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Bener Meriah, Aceh. #ugm #ews #meriahbener #aceh #pkm UGM Pasang EWS Banjir di Bener Meriah 1 56","BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung 2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Bener Meriah, Aceh. #ugm #ews #meriahbener #aceh #pkm UGM Pasang EWS Banjir di Bener Meriah 1 56","banjir susulan masih menjadi kekhawatiran masyarakat sejumlah wilayah terdampak bencana sumatra. bahkan penghujung 2025, selasa 30 12 hujan deras kembali mengguyur kabupaten benar meriah, aceh. ugm ews meriahbener aceh pkm ugm pasang ews banjir benar meriah 56",1
"Akun komentar Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. 42","Akun komentar Belum ada shalat berjamaah di Mesjid ini sejak bencana banjir nasional Aceh Sumatra November 26, 2025Gampong (Desa) Rawe, Lut Tawar Aceh Tengah. 42","akun komentar belum ada shalat berjamaah mesjid sejak bencana banjir nasional aceh sumatra november 26, 2025gampong desa rawe, lut tawar aceh tengah. 42",1
