text,clean_text,created_at,keyword,processed_text,sentimen,label,emoticon,has_truncation,has_mention,has_hashtag,has_url,has_unicode,has_engagement,has_html,llm_completed_text,llm_status,regex_text,processed_text_v2
polisi gatau siapa penyebab banjir sumatra? coba cek karangan bunga yang di kirim pas hut polri depan kantor nya. 45,polisi gatau siapa penyebab banjir sumatra coba cek karangan bunga yang di kirim pas hut polri depan kantor nya,2025-12-05,Penyebab Banjir Sumatra,polisi gatau siapa sebab banjir sumatra coba cek karang bunga kirim pas hut polri depan kantor,netral,1,,False,False,False,False,False,False,False,polisi gatau siapa penyebab banjir sumatra? coba cek karangan bunga yang di kirim pas hut polri depan kantor nya. 45,unchanged,polisi gatau siapa penyebab banjir sumatra? coba cek karangan bunga yang di kirim pas hut polri depan kantor nya.,polisi enggak tau siapa penyebab banjir sumatra? coba cek karangan bunga yang di kirim pas hut polri depan kantor nya.
"Badan Nasional Penanggulangan Bencana melaporkan korban meninggal akibat banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat mencapai 1.177 orang per Minggu sore, dengan 148 korban masih dinyatakan hilang. Jumlah pengungsi tercatat mencapai 242.174 jiwa, 175",badan nasional penanggulangan bencana melaporkan korban meninggal akibat banjir bandang dan tanah longsor di aceh sumatera utara dan sumatera barat mencapai orang per minggu sore dengan korban masih dinyatakan hilang jumlah pengungsi tercatat mencapai jiwa tampilkan lebih banyak,2026-01-06,banjir Sumatera Utara,badan nasional tanggulang bencana lapor korban tinggal akibat banjir bandang tanah longsor aceh sumatera utara sumatera barat capai orang per minggu sore korban nyata hilang jumlah ungsi catat capai jiwa tampil lebih banyak,netral,1,,False,False,False,False,False,False,False,"Badan Nasional Penanggulangan Bencana melaporkan korban meninggal akibat banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat mencapai 1.177 orang per Minggu sore, dengan 148 korban masih dinyatakan hilang. Jumlah pengungsi tercatat mencapai 242.174 jiwa, 175",unchanged,"Badan Nasional Penanggulangan Bencana melaporkan korban meninggal akibat banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat mencapai 1.177 orang per Minggu sore, dengan 148 korban masih dinyatakan hilang. Jumlah pengungsi tercatat mencapai 242.174 jiwa,","Badan Nasional Penanggulangan Bencana melaporkan korban meninggal akibat banjir bandang dan tanah longsor di Aceh, Sumatera Utara, dan Sumatera Barat mencapai 1.177 orang per Minggu sore, dengan 148 korban masih dinyatakan hilang. Jumlah pengungsi tercatat mencapai 242.174 jiwa,"
"Presiden RI Prabowo Subianto mendarat di Sumatera Barat untuk kembali mengunjungi wilayah terdampak banjir besar akhir November lalu. Setibanya di bandara, ia langsung disambut oleh Gubernur Sumatera Barat, Mahyeldi. Kedatangan Prabowo ke Sumatera Barat turut didampingi oleh 11 8 22",presiden ri prabowo subianto mendarat di sumatera barat untuk kembali mengunjungi wilayah terdampak banjir besar akhir november lalu setibanya di bandara ia langsung disambut oleh gubernur sumatera barat mahyeldi kedatangan prabowo ke sumatera barat turut didampingi oleh tampilkan lebih banyak rb,2025-12-17,banjir besar,presiden ri prabowo subianto darat sumatera barat unjung wilayah dampak banjir besar akhir november lalu tiba bandara langsung sambut gubernur sumatera barat mahyeldi datang prabowo sumatera barat turut damping tampil lebih banyak ,netral,1,,False,False,False,False,False,False,False,"Presiden RI Prabowo Subianto mendarat di Sumatera Barat untuk kembali mengunjungi wilayah terdampak banjir besar akhir November lalu. Setibanya di bandara, ia langsung disambut oleh Gubernur Sumatera Barat, Mahyeldi. Kedatangan Prabowo ke Sumatera Barat turut didampingi oleh 11 8 22",unchanged,"Presiden RI Prabowo Subianto mendarat di Sumatera Barat untuk kembali mengunjungi wilayah terdampak banjir besar akhir November lalu. Setibanya di bandara, ia langsung disambut oleh Gubernur Sumatera Barat, Mahyeldi. Kedatangan Prabowo ke Sumatera Barat turut didampingi oleh","Presiden RI Prabowo Subianto mendarat di Sumatera Barat untuk kembali mengunjungi wilayah terdampak banjir besar akhir November lalu. Setibanya di bandara, ia langsung disambut oleh Gubernur Sumatera Barat, Mahyeldi. Kedatangan Prabowo ke Sumatera Barat turut didampingi oleh"
"Kepedulian Bukit Asam kepada sesama tidak terbatas pada penyaluran bantuan logistik dan medis. Melalui Tim Tanggap Darurat, Bukit Asam mendampingi korban banjir Sumatra untuk memulihkan kondisi psikisnya. 1 4 17 313",kepedulian bukit asam kepada sesama tidak terbatas pada penyaluran bantuan logistik dan medis melalui tim tanggap darurat bukit asam mendampingi korban banjir sumatra untuk memulihkan kondisi psikisnya,2025-12-30,bantuan banjir,peduli bukit asam sama batas salur bantu logistik medis lalu tim tanggap darurat bukit asam damping korban banjir sumatra pulih kondisi psikis,negatif,0,,False,False,False,False,False,False,False,"Kepedulian Bukit Asam kepada sesama tidak terbatas pada penyaluran bantuan logistik dan medis. Melalui Tim Tanggap Darurat, Bukit Asam mendampingi korban banjir Sumatra untuk memulihkan kondisi psikisnya. 1 4 17 313",unchanged,"Kepedulian Bukit Asam kepada sesama tidak terbatas pada penyaluran bantuan logistik dan medis. Melalui Tim Tanggap Darurat, Bukit Asam mendampingi korban banjir Sumatra untuk memulihkan kondisi psikisnya.","Kepedulian Bukit Asam kepada sesama tidak terbatas pada penyaluran bantuan logistik dan medis. Melalui Tim Tanggap Darurat, Bukit Asam mendampingi korban banjir Sumatra untuk memulihkan kondisi psikisnya."
"Selain popok, makanan bayi, biskuit, minyak kayu putih, dll. Kita juga bawa jajanan untuk anak-anak dari keluarga yang terkena bencana banjir dan longsor di Tapanuli Tengah @SYatimPedalaman Makasih ya orang2 baik… Jangan lupakan mereka yah… mereka masih butuh kita",selain popok makanan bayi biskuit minyak kayu putih dll kita juga bawa jajanan untuk anak anak dari keluarga yang terkena bencana banjir dan longsor di tapanuli tengah makasih ya orang baik jangan lupakan mereka yah mereka masih butuh kita 😢,2026-01-13,banjir Tapanuli,popok makan bayi biskuit minyak kayu putih bawa jajan anak anak keluarga kena bencana banjir longsor tapanuli tengah makasih orang baik jangan lupa yah butuh,positif,2,😢,False,True,False,False,False,False,False,"Selain popok, makanan bayi, biskuit, minyak kayu putih, dll. Kita juga bawa jajanan untuk anak-anak dari keluarga yang terkena bencana banjir dan longsor di Tapanuli Tengah @SYatimPedalaman Makasih ya orang2 baik… Jangan lupakan mereka yah… mereka masih butuh kita",unchanged,"Selain popok, makanan bayi, biskuit, minyak kayu putih, dll. Kita juga bawa jajanan untuk anak-anak dari keluarga yang terkena bencana banjir dan longsor di Tapanuli Tengah Makasih ya orang2 baik... Jangan lupakan mereka yah... mereka masih butuh kita","Selain popok, makanan bayi, biskuit, minyak kayu putih, dll. Kita juga bawa jajanan untuk anak-anak dari keluarga yang terkena bencana banjir dan longsor di Tapanuli Tengah Terima kasih ya orang-orang baik... Jangan lupakan mereka ya... mereka masih butuh kita"
"Penetapan status bencana banjir dan tanah longsor di Aceh, Sumatera Utara dan Sumatera Barat jadi perdebatan publik. Penetapan status bencana dapat merubah prosedur penanganan di lapangan dengan segala keuntungan dan resikonya. Namun yang paling penting adalah upaya penyelamatan 5 20 30",penetapan status bencana banjir dan tanah longsor di aceh sumatera utara dan sumatera barat jadi perdebatan publik penetapan status bencana dapat merubah prosedur penanganan di lapangan dengan segala keuntungan dan resikonya namun yang paling penting adalah upaya penyelamatan tampilkan lebih banyak rb,2025-12-03,Sumatera Barat,tetap status bencana banjir tanah longsor aceh sumatera utara sumatera barat jadi debat publik tetap status bencana rubah prosedur tangan lapang segala untung resiko paling penting upaya selamat tampil lebih banyak ,netral,1,,False,False,False,False,False,False,False,"Penetapan status bencana banjir dan tanah longsor di Aceh, Sumatera Utara dan Sumatera Barat jadi perdebatan publik. Penetapan status bencana dapat merubah prosedur penanganan di lapangan dengan segala keuntungan dan resikonya. Namun yang paling penting adalah upaya penyelamatan 5 20 30",unchanged,"Penetapan status bencana banjir dan tanah longsor di Aceh, Sumatera Utara dan Sumatera Barat jadi perdebatan publik. Penetapan status bencana dapat merubah prosedur penanganan di lapangan dengan segala keuntungan dan resikonya. Namun yang paling penting adalah upaya penyelamatan","Penetapan status bencana banjir dan tanah longsor di Aceh, Sumatera Utara dan Sumatera Barat jadi perdebatan publik. Penetapan status bencana dapat merubah prosedur penanganan di lapangan dengan segala keuntungan dan resikonya. Namun yang paling penting adalah upaya penyelamatan"
@tinaberkata @Aceh dan 2 lainnya Bagaimana dengan kondisi saudara-saudara kita di: - Aceh Tengah - Gayo Lues - Aceh Utara - Aceh Barat - Aceh Timur - Bener Meriah serta entah mana lagi yang belum terungkap. Apalagi yang di Sumut dan Sumbar. @IkramAfro @SherlyAnnavita @Praz_Teguh @AttaHalilintar 2 440,membalas dan lainnya bagaimana dengan kondisi saudara saudara kita di aceh tengah gayo lues aceh utara aceh barat aceh timur bener meriah serta entah mana lagi yang belum terungkap apalagi yang di sumut dan sumbar,2026-01-10,BNPB,balas lain bagaimana kondisi saudara saudara aceh tengah gayo lues aceh utara aceh barat aceh timur bener riah entah mana ungkap sumut sumbar,netral,1,,False,True,False,False,False,False,False,@tinaberkata @Aceh dan 2 lainnya Bagaimana dengan kondisi saudara-saudara kita di: - Aceh Tengah - Gayo Lues - Aceh Utara - Aceh Barat - Aceh Timur - Bener Meriah serta entah mana lagi yang belum terungkap. Apalagi yang di Sumut dan Sumbar. @IkramAfro @SherlyAnnavita @Praz_Teguh @AttaHalilintar 2 440,unchanged,dan 2 lainnya Bagaimana dengan kondisi saudara-saudara kita di: - Aceh Tengah - Gayo Lues - Aceh Utara - Aceh Barat - Aceh Timur - Bener Meriah serta entah mana lagi yang belum terungkap. Apalagi yang di Sumut dan Sumbar.,dan 2 lainnya Bagaimana dengan kondisi saudara-saudara kita di: - Aceh Tengah - Gayo Lues - Aceh Utara - Aceh Barat - Aceh Timur - Benar Meriah serta entah mana lagi yang belum terungkap. Apalagi yang di Sumut dan Sumbar.
"Sumatra Tak Sendiri: Bangkit Bersama, Pulih Segera! Negara bergerak penuh! Sesuai instruksi Presiden, pemulihan di Aceh, Sumut, dan Sumbar kini jadi prioritas utama. 19",sumatra tak sendiri bangkit bersama pulih segera negara bergerak penuh sesuai instruksi presiden pemulihan di aceh sumut dan sumbar kini jadi prioritas utama,2025-12-29,Sumbar,sumatra tak sendiri bangkit sama pulih segera negara gerak penuh sesuai instruksi presiden pulih aceh sumut sumbar kini jadi prioritas utama,positif,2,,False,False,False,False,False,False,False,"Sumatra Tak Sendiri: Bangkit Bersama, Pulih Segera! Negara bergerak penuh! Sesuai instruksi Presiden, pemulihan di Aceh, Sumut, dan Sumbar kini jadi prioritas utama. 19",unchanged,"Sumatra Tak Sendiri: Bangkit Bersama, Pulih Segera! Negara bergerak penuh! Sesuai instruksi Presiden, pemulihan di Aceh, Sumut, dan Sumbar kini jadi prioritas utama.","Sumatra Tidak Sendiri: Bangkit Bersama, Pulih Segera! Negara bergerak penuh! Sesuai instruksi Presiden, pemulihan di Aceh, Sumut, dan Sumbar kini jadi prioritas utama."
Akun parodi komitmen ini diwujudkan melalui program pembangunan kembali rumah-rumah warga yang rusak maupun hilang akibat terjangan banjir. Aceh Sumatera Update 14,akun parodi komitmen ini diwujudkan melalui program pembangunan kembali rumah rumah warga yang rusak maupun hilang akibat terjangan banjir aceh sumatera update,2026-01-10,banjir Aceh,akun parodi komitmen wujud lalu program bangun rumah rumah warga rusak maupun hilang akibat terjang banjir aceh sumatera update,negatif,0,,False,False,False,False,False,False,False,Akun parodi komitmen ini diwujudkan melalui program pembangunan kembali rumah-rumah warga yang rusak maupun hilang akibat terjangan banjir. Aceh Sumatera Update 14,unchanged,Akun parodi komitmen ini diwujudkan melalui program pembangunan kembali rumah-rumah warga yang rusak maupun hilang akibat terjangan banjir. Aceh Sumatera Update,Akun parodi komitmen ini diwujudkan melalui program pembangunan kembali rumah-rumah warga yang rusak maupun hilang akibat terjangan banjir. Aceh Sumatera Update
@tinaberkata TL;DR Pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik. MPBI bermitra dengan BNPB mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada Bencana Banjir Bandang Sumatra 2025. MPBI juga telah menyusun rancangan program hingga recovery 15,membalas tl dr pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik mpbi bermitra dengan bnpb mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada bencana banjir bandang sumatra mpbi juga telah menyusun rancangan program hingga recovery,2026-01-05,Banjir Sumatra 2025,balas tl kelola bencana lapangn mulai organisir baik mpbi mitra bnpb dorong prinsip mitra rangkul bagai pihak peduli bencana banjir bandang sumatra mpbi susun rancang program hingga recovery,positif,2,,False,True,False,False,False,False,False,@tinaberkata TL;DR Pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik. MPBI bermitra dengan BNPB mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada Bencana Banjir Bandang Sumatra 2025. MPBI juga telah menyusun rancangan program hingga recovery 15,unchanged,TL;DR Pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik. MPBI bermitra dengan BNPB mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada Bencana Banjir Bandang Sumatra 2025. MPBI juga telah menyusun rancangan program hingga recovery,TL;DR Pengelolaan bencana di lapangn sudah mulai terorganisir dengan baik. MPBI bermitra dengan BNPB mendorong prinsip kemitraan untuk merangkul berbagai pihak yang peduli pada Bencana Banjir Bandang Sumatra 2025. MPBI juga telah menyusun rancangan program hingga recovery
