part,scenario,strategy,seed,train_n,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_precision_macro,test_recall_macro,recall_netral,f1_netral,status,runtime_sec
empiris,empiris,baseline,42,6226,0.7789,0.7263,0.8202,0.7712,0.7897,0.7591,0.5563,0.6211,OK,161.09
empiris,empiris,baseline,123,6226,0.7702,0.7168,0.811,0.7619,0.7714,0.7549,0.5629,0.6039,OK,163.45
empiris,empiris,baseline,456,6226,0.7775,0.7183,0.804,0.7524,0.7639,0.7452,0.5331,0.5865,OK,163.18
empiris,empiris,class_weight,42,6226,0.7514,0.7176,0.763,0.731,0.7235,0.7503,0.6921,0.5838,OK,166.31
empiris,empiris,class_weight,123,6226,0.7616,0.7242,0.7705,0.7343,0.7263,0.7496,0.6656,0.5843,OK,166.26
empiris,empiris,class_weight,456,6226,0.7616,0.7167,0.7948,0.7571,0.7509,0.7645,0.6424,0.6178,OK,166.84
empiris,empiris,ros,42,10122,0.7688,0.734,0.7757,0.7393,0.7306,0.7522,0.6457,0.5927,OK,262.79
empiris,empiris,ros,123,10122,0.7543,0.7126,0.7769,0.7351,0.7281,0.7456,0.6192,0.5684,OK,262.57
empiris,empiris,ros,456,10122,0.7616,0.7207,0.7815,0.7422,0.7344,0.753,0.6291,0.5938,OK,208.07
empiris,empiris,rus,42,3261,0.7399,0.7037,0.7578,0.7267,0.7174,0.7472,0.6954,0.5941,OK,89.61
empiris,empiris,rus,123,3261,0.7355,0.7022,0.7509,0.7199,0.7149,0.7438,0.7219,0.5798,OK,89.72
empiris,empiris,rus,456,3261,0.7269,0.6933,0.7416,0.7135,0.7054,0.7426,0.7119,0.5772,OK,90.08
