part,scenario,strategy,seed,train_n,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_precision_macro,test_recall_macro,recall_netral,f1_netral,status,runtime_sec
empiris,empiris,baseline,42,6226,0.7789,0.7263,0.8202,0.7712,0.7897,0.7591,0.5563,0.6211,OK,161.09
empiris,empiris,baseline,123,6226,0.7702,0.7168,0.811,0.7619,0.7714,0.7549,0.5629,0.6039,OK,163.45
empiris,empiris,baseline,456,6226,0.7775,0.7183,0.804,0.7524,0.7639,0.7452,0.5331,0.5865,OK,163.18
empiris,empiris,class_weight,42,6226,0.7514,0.7176,0.763,0.731,0.7235,0.7503,0.6921,0.5838,OK,166.31
empiris,empiris,class_weight,123,6226,0.7616,0.7242,0.7705,0.7343,0.7263,0.7496,0.6656,0.5843,OK,166.26
empiris,empiris,class_weight,456,6226,0.7616,0.7167,0.7948,0.7571,0.7509,0.7645,0.6424,0.6178,OK,166.84
empiris,empiris,ros,42,10122,0.7688,0.734,0.7757,0.7393,0.7306,0.7522,0.6457,0.5927,OK,262.79
empiris,empiris,ros,123,10122,0.7543,0.7126,0.7769,0.7351,0.7281,0.7456,0.6192,0.5684,OK,262.57
empiris,empiris,ros,456,10122,0.7616,0.7207,0.7815,0.7422,0.7344,0.753,0.6291,0.5938,OK,208.07
empiris,empiris,rus,42,3261,0.7399,0.7037,0.7578,0.7267,0.7174,0.7472,0.6954,0.5941,OK,89.61
empiris,empiris,rus,123,3261,0.7355,0.7022,0.7509,0.7199,0.7149,0.7438,0.7219,0.5798,OK,89.72
empiris,empiris,rus,456,3261,0.7269,0.6933,0.7416,0.7135,0.7054,0.7426,0.7119,0.5772,OK,90.08
simulasi,scenario_111,baseline,42,3000,0.7312,0.6954,0.7538,0.7213,0.711,0.742,0.6788,0.5925,OK,83.06
simulasi,scenario_111,baseline,123,3000,0.7211,0.6894,0.7324,0.7032,0.694,0.7303,0.6854,0.571,OK,83.35
simulasi,scenario_111,baseline,456,3000,0.7312,0.6925,0.7497,0.7106,0.7111,0.7245,0.6755,0.5589,OK,66.53
simulasi,scenario_111,ros,42,3000,0.7428,0.7068,0.7578,0.725,0.7148,0.7446,0.6722,0.5893,OK,83.12
simulasi,scenario_111,ros,123,3000,0.7153,0.6841,0.726,0.6978,0.6885,0.7259,0.6788,0.5679,OK,83.12
simulasi,scenario_111,ros,456,3000,0.7298,0.6885,0.7543,0.7208,0.7126,0.7427,0.6159,0.5831,OK,83.58
simulasi,scenario_631,baseline,42,5000,0.763,0.6741,0.804,0.7295,0.7886,0.7142,0.3874,0.5143,OK,132.67
simulasi,scenario_631,baseline,123,5000,0.7558,0.676,0.8052,0.7382,0.7854,0.7226,0.4272,0.5443,OK,132.63
simulasi,scenario_631,baseline,456,5000,0.763,0.6683,0.8087,0.7358,0.7966,0.7205,0.394,0.5242,OK,132.63
simulasi,scenario_631,ros,42,9000,0.7659,0.7177,0.7746,0.7253,0.7255,0.7274,0.5331,0.5571,OK,233.96
simulasi,scenario_631,ros,123,9000,0.7702,0.7191,0.7832,0.7312,0.7316,0.7326,0.5298,0.5536,OK,234.81
simulasi,scenario_631,ros,456,9000,0.7688,0.7284,0.774,0.731,0.726,0.7375,0.6026,0.5687,OK,187.39
simulasi,scenario_811,baseline,42,4000,0.7673,0.689,0.7908,0.7145,0.7801,0.6878,0.404,0.5115,OK,109.47
simulasi,scenario_811,baseline,123,4000,0.7616,0.6758,0.7809,0.6973,0.7594,0.6732,0.3675,0.4674,OK,109.66
simulasi,scenario_811,baseline,456,4000,0.7543,0.6643,0.7838,0.6943,0.7452,0.6785,0.3344,0.4372,OK,87.7
simulasi,scenario_811,ros,42,9600,0.7616,0.7055,0.7671,0.7142,0.7225,0.7096,0.5596,0.5425,OK,249.86
simulasi,scenario_811,ros,123,9600,0.7616,0.7115,0.7676,0.7174,0.7209,0.718,0.5894,0.5469,OK,248.97
simulasi,scenario_811,ros,456,9600,0.7124,0.6805,0.7324,0.7041,0.7076,0.7322,0.7483,0.558,OK,148.03
