Model,Data,Scenario,Accuracy,Macro_F1,Precision,Recall,Neutral_Recall,Neutral_F1
LSTM,Old (clean_text_lstm),Empiris Baseline (Natural),0.7404624277456647,0.679679826410275,0.6819240457689352,0.6776113725752518,0.47019867549668876,0.47651006711409394
LSTM,Old (clean_text_lstm),Empiris Class Weight,0.6473988439306358,0.6181797012085152,0.6213999221033137,0.6453617363755604,0.5695364238410596,0.43
LSTM,Old (clean_text_lstm),Simulasi 111,0.4254335260115607,0.42136091891199995,0.477353947629809,0.5544857270548909,0.7748344370860927,0.4746450304259635
LSTM,Old (clean_text_lstm),Simulasi 631,0.7184971098265895,0.5142386122232004,0.4770888285739771,0.5607842625820442,0.0,0.0
LSTM,Old (clean_text_lstm),Simulasi 811,0.5416184971098266,0.2342207224096988,0.18053949903660885,0.3333333333333333,0.0,0.0
BiLSTM,Old (clean_text_lstm),Empiris Baseline (Natural),0.7433526011560694,0.6658532346370328,0.6821704564633042,0.6648429256759901,0.3543046357615894,0.42714570858283435
BiLSTM,Old (clean_text_lstm),Empiris Class Weight,0.6855491329479769,0.6517688011422347,0.646839550407897,0.6769852496433826,0.5927152317880795,0.48707482993197276
BiLSTM,Old (clean_text_lstm),Simulasi 111,0.5953757225433526,0.5862417343209966,0.6193144222338549,0.6369936923142556,0.6556291390728477,0.41422594142259417
BiLSTM,Old (clean_text_lstm),Simulasi 631,0.7236994219653179,0.518062516646086,0.4768416339049728,0.5681868075736795,0.0,0.0
BiLSTM,Old (clean_text_lstm),Simulasi 811,0.661849710982659,0.4474021717651691,0.4726272577996716,0.47777316492308003,0.0,0.0
IndoBERTweet-LoRA,Old (text_bert),Empiris Baseline (Natural),0.7872832369942196,0.7344524585699365,0.742353589490872,0.7291602493390551,0.5264900662251656,0.5678571428571428
IndoBERTweet-LoRA,Old (text_bert),Empiris Class Weight,0.7410404624277457,0.7114344940171268,0.7027081089164061,0.7374726843581776,0.655,0.582
IndoBERTweet-LoRA,Old (text_bert),Simulasi 111,0.6913294797687861,0.6694009821857495,0.6679218193337118,0.7125096512120935,0.6655629139072847,0.5454545454545454
IndoBERTweet-LoRA,Old (text_bert),Simulasi 631,0.784971098265896,0.697294724941124,0.7669177135600272,0.6894393383560877,0.3211920529801324,0.45011600928074247
IndoBERTweet-LoRA,Old (text_bert),Simulasi 811,0.7791907514450868,0.6828356719708945,0.7581197596560992,0.6680433209385076,0.2980132450331126,0.4195804195804196
