Scenario ID,Scenario Name,Strategy,Mean Accuracy,SD Accuracy,Mean Macro F1,SD Macro F1,Mean Precision,SD Precision,Mean Recall,SD Recall
scenario_111,Scenario A: Balanced (1:1:1),Baseline,0.6164,0.0493,0.5816,0.0346,0.5879,0.0271,0.601,0.0265
scenario_111,Scenario A: Balanced (1:1:1),Class Weight,0.6164,0.0493,0.5816,0.0346,0.5879,0.0271,0.601,0.0265
scenario_111,Scenario A: Balanced (1:1:1),Random Oversampling,0.5932,0.0382,0.5619,0.0338,0.5673,0.0284,0.5868,0.0238
scenario_111,Scenario A: Balanced (1:1:1),Random Undersampling,0.5932,0.0382,0.5619,0.0338,0.5673,0.0284,0.5868,0.0238
scenario_111,Scenario A: Balanced (1:1:1),SMOTE,0.6164,0.0493,0.5816,0.0346,0.5879,0.0271,0.601,0.0265
scenario_631,Scenario B: Moderate (6:3:1),Baseline,0.7045,0.0079,0.5716,0.0342,0.6469,0.0274,0.5872,0.0211
scenario_631,Scenario B: Moderate (6:3:1),Class Weight,0.6418,0.0212,0.5975,0.0323,0.5975,0.0305,0.6157,0.0292
scenario_631,Scenario B: Moderate (6:3:1),Random Oversampling,0.648,0.0216,0.5995,0.0046,0.6044,0.0047,0.6067,0.005
scenario_631,Scenario B: Moderate (6:3:1),Random Undersampling,0.6098,0.0222,0.5581,0.0098,0.5611,0.0068,0.57,0.0182
scenario_631,Scenario B: Moderate (6:3:1),SMOTE,0.3551,0.0412,0.3574,0.05,0.4561,0.0374,0.4103,0.0075
scenario_811,Scenario C: Severe (8:1:1),Baseline,0.6372,0.0456,0.4597,0.1026,0.5765,0.0183,0.4794,0.0831
scenario_811,Scenario C: Severe (8:1:1),Class Weight,0.6381,0.0097,0.57,0.0252,0.5681,0.0219,0.5744,0.0304
scenario_811,Scenario C: Severe (8:1:1),Random Oversampling,0.6308,0.0599,0.5851,0.0352,0.5986,0.0312,0.5929,0.0153
scenario_811,Scenario C: Severe (8:1:1),Random Undersampling,0.5266,0.0367,0.4977,0.0352,0.5167,0.02,0.5284,0.0243
scenario_811,Scenario C: Severe (8:1:1),SMOTE,0.3699,0.0371,0.3512,0.0374,0.3899,0.0172,0.3734,0.0295
