strategy,batch_size,dropout,learning_rate,units,val_f1_macro
Baseline,16,0.2,5e-05,32,0.4901769327438588
Baseline,16,0.2,5e-05,64,0.50127274067271
Baseline,16,0.2,0.0001,32,0.48834801965692803
Baseline,16,0.2,0.0001,64,0.502377300613497
Baseline,16,0.2,0.0002,32,0.5829176844078628
Baseline,16,0.2,0.0002,64,0.4865609457594459
Baseline,16,0.3,5e-05,32,0.4968777729399639
Baseline,16,0.3,5e-05,64,0.49917257683215127
Baseline,16,0.3,0.0001,32,0.5361661166116611
Baseline,16,0.3,0.0001,64,0.49925014026153375
Baseline,16,0.3,0.0002,32,0.4809594008586831
Baseline,16,0.3,0.0002,64,0.5503578994816317
Baseline,32,0.2,5e-05,32,0.4663299663299663
Baseline,32,0.2,5e-05,64,0.5020650288208629
Baseline,32,0.2,0.0001,32,0.4904079904079904
Baseline,32,0.2,0.0001,64,0.4975516286991697
Baseline,32,0.2,0.0002,32,0.4950102103422067
Baseline,32,0.2,0.0002,64,0.4884397002858691
Baseline,32,0.3,5e-05,32,0.4761902254886993
Baseline,32,0.3,5e-05,64,0.5004178366091724
Baseline,32,0.3,0.0001,32,0.5453944965924592
Baseline,32,0.3,0.0001,64,0.4997597683141053
Baseline,32,0.3,0.0002,32,0.5246023212105665
Baseline,32,0.3,0.0002,64,0.5206757453606348
Class Weight,16,0.2,5e-05,32,0.6260059399140865
Class Weight,16,0.2,5e-05,64,0.6011107397681759
Class Weight,16,0.2,0.0001,32,0.6259195567582813
Class Weight,16,0.2,0.0001,64,0.6217864529850768
Class Weight,16,0.2,0.0002,32,0.6151311894985364
Class Weight,16,0.2,0.0002,64,0.6819978375928812
Class Weight,16,0.3,5e-05,32,0.608737811279125
Class Weight,16,0.3,5e-05,64,0.152488525958157
Class Weight,16,0.3,0.0001,32,0.6208164770147951
Class Weight,16,0.3,0.0001,64,0.5839432377330159
Class Weight,16,0.3,0.0002,32,0.591355151484572
Class Weight,16,0.3,0.0002,64,0.5514155286841099
Class Weight,32,0.2,5e-05,32,0.15243516761543327
Class Weight,32,0.2,5e-05,64,0.612675492721416
Class Weight,32,0.2,0.0001,32,0.6098097062629116
Class Weight,32,0.2,0.0001,64,0.15926648150392042
Class Weight,32,0.2,0.0002,32,0.6225876313467554
