id,kategori,status,text,created_at,pasangan_id,rasio_kemiripan,alasan
7695,near_duplicate,duplikat,"Seorang Ibu harus memanjat tebing demi membawa bayinya  ke Puskesmas. Gampong (Desa) Sikundo,Aceh Barat,masih terisolasi. Jalan dan jembatan terputus.Warga terpaksa berpegangan tali di tepi sungai dan tebing untuk melintas.    Banjir dan longsor #AcehBangkit akibat Siklon",2026-01-13,1,0.9161,Kemiripan 92% dengan id 1
7662,near_duplicate,duplikat,Masyarakat Aceh terpaksa mengangkut barang dagangan dan kebutuhan lainnya melewati medan berbahaya akibat terputusnya akses jalan dan jembatan.  Skala kehancuran infrastruktur di Aceh akibat Banjir Besar Aceh–Sumatra Nov 2025 melampaui bencana Tsunami 2004. Sebanyak 461 ruas,2026-01-10,6,0.9016,Kemiripan 90% dengan id 6
7663,near_duplicate,duplikat,"Melalui Nurani Astra, Astra bersama Grup Astra menyalurkan bantuan tanggap darurat lanjutan bagi masyarakat terdampak banjir bandang dan tanah longsor di Aceh, Sumatra Utara, dan Sumatra Barat. Bantuan ini melanjutkan tahap pertama yang telah dimulai sejak Desember 2025 dan",2026-01-10,7,0.954,Kemiripan 95% dengan id 7
7664,near_duplicate,duplikat,"BANJIR susulan masih menjadi kekhawatiran masyarakat di sejumlah wilayah terdampak bencana di Sumatra. Bahkan di penghujung  2025, Selasa (30/12), hujan deras kembali mengguyur Kabupaten Bener Meriah, Aceh. #ugm #ews #meriahbener #aceh #pkm",2026-01-10,8,0.9071,Kemiripan 91% dengan id 8
7816,near_duplicate,duplikat,"Kritik Bencana Banjir Sumatra dan Utang PLN, Influencer Sherly Annavita hingga DJ Donny Diteror",2025-12-30,47,0.9448,Kemiripan 94% dengan id 47
7672,near_duplicate,duplikat,"Viralin bahaya tuh..? Waduuh..! Itu orang utan pada jatuh klimpungan kasian banget, itu pohon  belum dewasa di tebangin, mengakibatkan Banjir Bandang tuh Kaya Sumatra",2026-01-11,54,0.9495,Kemiripan 95% dengan id 54
245,near_duplicate,duplikat,"Sinergi tanpa batas! Pemerintah Bareng Warga bergotong royong memulihkan infrastruktur pasca banjir bandang di Pidie Jaya. Dengan langkah nyata pembersihan sedimen dan kayu, kini Aceh Sumatra Bangkit menatap masa depan yang lebih aman. Pemerintah Sigap untuk Aceh Sumatra. 1 22",2026-01-10,59,0.9067,Kemiripan 91% dengan id 59
7673,near_duplicate,duplikat,Walhi Sebut Penegakan Hukum terhadap Perusahaan Penyebab Banjir Sumatra Setengah Hati  #bencanasumatra #aceh #sumut #sumbar #tambang #deforestasi,2026-01-13,97,0.9304,Kemiripan 93% dengan id 97
7675,near_duplicate,duplikat,"data bmkg selama 40 tahun menunjukkan tren curah hujan di aceh dan sumut terus meningkat tajam. kondisi alam yang makin ekstrem ini tidak bisa diabaikan saat membahas penyebab Banjir Sumatra, apalagi jika hanya fokus menyalahkan satu pihak.",2026-01-11,99,0.9624,Kemiripan 96% dengan id 99
7676,near_duplicate,duplikat,Satgas PKH: 12 Perusahaan Diduga Jadi Penyebab Banjir Sumatra,2026-01-09,100,0.9019,Kemiripan 90% dengan id 100
