text,clean_text,created_at,keyword,processed_text,sentimen,label,emoticon,is_truncated,clean_text_step1,processed_text_v2,clean_regex,text_clean
PLN terus bergerak memastikan pemulihan listrik pascabencana banjir yang melanda sejumlah wilayah di Aceh. #PLNUntukSemua #PLNUntukIndonesia #pInAceh PrayforAceh #PLNUIDSulselrabar 25,pln terus bergerak memastikan pemulihan listrik pascabencana banjir yang melanda sejumlah wilayah di aceh plnuntuksemua plnuntukindonesia pinaceh prayforaceh plnuidsulselrabar,2025-12-09,banjir terus,pln terus gerak pasti pulih listrik pascabencana banjir landa jumlah wilayah aceh plnuntuksemua plnuntukindonesia pinaceh prayforaceh plnuidsulselrabar,positif,2,,False,PLN terus bergerak memastikan pemulihan listrik pascabencana banjir yang melanda sejumlah wilayah di Aceh. PLNUntukSemua PLNUntukIndonesia pInAceh PrayforAceh PLNUIDSulselrabar 25,PLN terus bergerak memastikan pemulihan listrik pascabencana banjir yang melanda sejumlah wilayah di Aceh. PLNUntukSemua PLNUntukIndonesia pInAceh PrayforAceh PLNUIDSulselrabar,PLN terus bergerak memastikan pemulihan listrik pascabencana banjir yang melanda sejumlah wilayah di Aceh. PLNUntukSemua PLNUntukIndonesia pInAceh PrayforAceh PLNUIDSulselrabar,PLN terus bergerak memastikan pemulihan listrik pascabencana banjir yang melanda sejumlah wilayah di Aceh. PLNUntukSemua PLNUntukIndonesia pInAceh PrayforAceh PLNUIDSulselrabar
Pemerintah hadir melalui TNI untuk Aceh Sumatra pulih petualangan sherina foom Air Untuk Negeri Trade $ADI JoongDunk TNI AD Kita Kamin Dinasti StandUp Komedi Pandji Jualan Bully Muhammadiyah Arsenal Lake Geneva Polda Sulteng Muggle Ptosis #RIIZEInJakarta 1 1 388,pemerintah hadir melalui tni untuk aceh sumatra pulih petualangan sherina foom air untuk negeri trade adi joongdunk tni ad kita kamin dinasti standup komedi pandji jualan bully muhammadiyah arsenal lake geneva polda sulteng muggle ptosis riizeinjakarta,2026-01-08,Aceh,perintah hadir lalu tni aceh sumatra pulih tualang sherina foom air negeri trade adi joongdunk tni ad kamin dinasti standup komedi pandji jual bully muhammadiyah arsenal lake geneva polda sulteng muggle ptosis riizeinjakarta,positif,2,,False,Pemerintah hadir melalui TNI untuk Aceh Sumatra pulih petualangan sherina foom Air Untuk Negeri Trade $ADI JoongDunk TNI AD Kita Kamin Dinasti StandUp Komedi Pandji Jualan Bully Muhammadiyah Arsenal Lake Geneva Polda Sulteng Muggle Ptosis RIIZEInJakarta 1 1 388,Pemerintah hadir melalui TNI untuk Aceh Sumatra pulih petualangan sherina foom Air Untuk Negeri Trade $ADI JoongDunk TNI ada Kita Kamin Dinasti StandUp Komedi Pandji Jualan Bully Muhammadiyah Arsenal Lake Geneva Polda Sulteng Muggle Ptosis RIIZEInJakarta,Pemerintah hadir melalui TNI untuk Aceh Sumatra pulih petualangan sherina foom Air Untuk Negeri Trade $ADI JoongDunk TNI AD Kita Kamin Dinasti StandUp Komedi Pandji Jualan Bully Muhammadiyah Arsenal Lake Geneva Polda Sulteng Muggle Ptosis RIIZEInJakarta,Pemerintah hadir melalui TNI untuk Aceh Sumatra pulih petualangan sherina foom Air Untuk Negeri Trade $ADI JoongDunk TNI ada Kita Kamin Dinasti StandUp Komedi Pandji Jualan Bully Muhammadiyah Arsenal Lake Geneva Polda Sulteng Muggle Ptosis RIIZEInJakarta
SOLIDARITAS KAMI UNTUK SAUDARA-SAUDARA KITA PENYINTAS BENCANA SUMATERA... 1 191 422,solidaritas kami untuk saudara saudara kita penyintas bencana sumatera rb,2025-12-18,ngungsi banjir,solidaritas saudara saudara sintas bencana sumatera ,netral,1,,False,SOLIDARITAS KAMI UNTUK SAUDARA-SAUDARA KITA PENYINTAS BENCANA SUMATERA... 1 191 422,SOLIDARITAS KAMI UNTUK SAUDARA-SAUDARA KITA PENYINTAS BENCANA SUMATERA...,SOLIDARITAS KAMI UNTUK SAUDARA-SAUDARA KITA PENYINTAS BENCANA SUMATERA...,SOLIDARITAS KAMI UNTUK SAUDARA-SAUDARA KITA PENYINTAS BENCANA SUMATERA...
"Dari pengamanan hingga trauma healing, Polri hadir menyeluruh. Tim Polda Riau turun BKO membantu korban banjir bandang Kabupaten Agam. #polri #PolriPeduli #PeduliBencana #PrayForSumatera Dari safitrieka 1 30",dari pengamanan hingga trauma healing polri hadir menyeluruh tim polda riau turun bko membantu korban banjir bandang kabupaten agam polri polripeduli pedulibencana prayforsumatera dari safitrieka,2025-12-02,banjir Riau,aman hingga trauma healing polri hadir seluruh tim polda riau turun bko bantu korban banjir bandang kabupaten agam polri polripeduli pedulibencana prayforsumatera safitrieka,negatif,0,,False,"Dari pengamanan hingga trauma healing, Polri hadir menyeluruh. Tim Polda Riau turun BKO membantu korban banjir bandang Kabupaten Agam. polri PolriPeduli PeduliBencana PrayForSumatera Dari safitrieka 1 30","Dari pengamanan hingga trauma healing, Polri hadir menyeluruh. Tim Polda Riau turun BKO membantu korban banjir bandang Kabupaten Agam. polri PolriPeduli PeduliBencana PrayForSumatera Dari safitrieka","Dari pengamanan hingga trauma healing, Polri hadir menyeluruh. Tim Polda Riau turun BKO membantu korban banjir bandang Kabupaten Agam. polri PolriPeduli PeduliBencana PrayForSumatera Dari safitrieka","Dari pengamanan hingga trauma healing, Polri hadir menyeluruh. Tim Polda Riau turun BKO membantu korban banjir bandang Kabupaten Agam. polri PolriPeduli PeduliBencana PrayForSumatera Dari safitrieka"
"Keluarga besar Kanwil Kemenkum Sumsel menyampaikan bela sungkawa atas musibah yang terjadi di Sumatera. Semoga para keluarga terdampak diberikan ketabahan, kekuatan, dan perlindungan. #KementerianHukum #LayananHukumMakinMudah #KemenkumSumsel #PrayforSumatera 17",keluarga besar kanwil kemenkum sumsel menyampaikan bela sungkawa atas musibah yang terjadi di sumatera semoga para keluarga terdampak diberikan ketabahan kekuatan dan perlindungan kementerianhukum layananhukummakinmudah kemenkumsumsel prayforsumatera,2025-11-28,Sumsel,keluarga besar kanwil kemenkum sumsel sampai bela sungkawa atas musibah jadi sumatera moga keluarga dampak beri tabah kuat lindung kementerianhukum layananhukummakinmudah kemenkumsumsel prayforsumatera,positif,2,,False,"Keluarga besar Kanwil Kemenkum Sumsel menyampaikan bela sungkawa atas musibah yang terjadi di Sumatera. Semoga para keluarga terdampak diberikan ketabahan, kekuatan, dan perlindungan. KementerianHukum LayananHukumMakinMudah KemenkumSumsel PrayforSumatera 17","Keluarga besar Kanwil Kemenkum Sumsel menyampaikan bela sungkawa atas musibah yang terjadi di Sumatera. Semoga para keluarga terdampak diberikan ketabahan, kekuatan, dan perlindungan. KementerianHukum LayananHukumMakinMudah KemenkumSumsel PrayforSumatera","Keluarga besar Kanwil Kemenkum Sumsel menyampaikan bela sungkawa atas musibah yang terjadi di Sumatera. Semoga para keluarga terdampak diberikan ketabahan, kekuatan, dan perlindungan. KementerianHukum LayananHukumMakinMudah KemenkumSumsel PrayforSumatera","Keluarga besar Kanwil Kemenkum Sumsel menyampaikan bela sungkawa atas musibah yang terjadi di Sumatera. Semoga para keluarga terdampak diberikan ketabahan, kekuatan, dan perlindungan. KementerianHukum LayananHukumMakinMudah KemenkumSumsel PrayforSumatera"
"Akun parodi Percayalah, ini bukan sekedar mencekam di medsos, ini real keadaan disana saat tim Basarnas, polri dan segenap relawan berjibaku mencari korban yang tertimbun, 21 hari Pasca Bencana Banjir dan Longsor di Sumatera. Jakarta Selatan Sathosi Nakamoto #zonauangᅠᅠ 1 6 14",akun parodi percayalah ini bukan sekedar mencekam di medsos ini real keadaan disana saat tim basarnas polri dan segenap relawan berjibaku mencari korban yang tertimbun hari pasca bencana banjir dan longsor di sumatera jakarta selatan sathosi nakamoto zonauang rb,2025-12-18,banjir Sumatera Selatan,akun parodi percaya bukan dar cekam medsos real ada sana tim basarnas polri segenap rawan jibaku cari korban timbun hari pasca bencana banjir longsor sumatera jakarta selatan sathosi nakamoto zonauang ,negatif,0,,False,"Akun parodi Percayalah, ini bukan sekedar mencekam di medsos, ini real keadaan disana saat tim Basarnas, polri dan segenap relawan berjibaku mencari korban yang tertimbun, 21 hari Pasca Bencana Banjir dan Longsor di Sumatera. Jakarta Selatan Sathosi Nakamoto zonauangᅠᅠ 1 6 14","Akun parodi Percayalah, ini bukan sekedar mencekam di medsos, ini real keadaan disana saat tim Basarnas, polri dan segenap relawan berjibaku mencari korban yang tertimbun, hari Pasca Bencana Banjir dan Longsor di Sumatera. Jakarta Selatan Sathosi Nakamoto zonauangᅠᅠ","Akun parodi Percayalah, ini bukan sekedar mencekam di medsos, ini real keadaan disana saat tim Basarnas, polri dan segenap relawan berjibaku mencari korban yang tertimbun, hari Pasca Bencana Banjir dan Longsor di Sumatera. Jakarta Selatan Sathosi Nakamoto zonauangᅠᅠ","Akun parodi Percayalah, ini bukan sekedar mencekam di medsos, ini real keadaan disana saat tim Basarnas, polri dan segenap relawan berjibaku mencari korban yang tertimbun, hari Pasca Bencana Banjir dan Longsor di Sumatera. Jakarta Selatan Sathosi Nakamoto zonauangᅠᅠ"
@Jateng_Twit Banjir aceh medan padang ada perusahaan prabowo jg bnyk masyarakat yg blm bnyk tau 1 68,membalas banjir aceh medan padang ada perusahaan prabowo jg bnyk masyarakat yg blm bnyk tau,2025-12-14,banjir Padang,balas banjir aceh medan padang usaha prabowo jg bnyk masyarakat blm bnyk tau,netral,1,,False,Banjir aceh medan padang ada perusahaan prabowo jg bnyk masyarakat yg blm bnyk tau 1 68,Banjir aceh medan padang ada perusahaan prabowo juga banyak masyarakat yang belum banyak tau,Banjir aceh medan padang ada perusahaan prabowo jg bnyk masyarakat yg blm bnyk tau,Banjir aceh medan padang ada perusahaan prabowo juga banyak masyarakat yang belum banyak tau
Aceh Tamiang masih berjuang untuk pulih usai banjir besar akhir tahun lalu. Banjir ini disebut sebagai banjir terparah dalam sejarah. Alat berat dikerahkan untuk membersihkan lumpur tebal dan puing-puing di jalan serta area publik. #detikfinance #Aceh #Tamiang #Pulih 357,aceh tamiang masih berjuang untuk pulih usai banjir besar akhir tahun lalu banjir ini disebut sebagai banjir terparah dalam sejarah alat berat dikerahkan untuk membersihkan lumpur tebal dan puing puing di jalan serta area publik detikfinance aceh tamiang pulih,2026-01-08,banjir besar,aceh tamiang juang pulih usai banjir besar akhir tahun lalu banjir sebut banjir parah sejarah alat berat kerah bersih lumpur tebal puing puing jalan area publik detikfinance aceh tamiang pulih,negatif,0,,False,Aceh Tamiang masih berjuang untuk pulih usai banjir besar akhir tahun lalu. Banjir ini disebut sebagai banjir terparah dalam sejarah. Alat berat dikerahkan untuk membersihkan lumpur tebal dan puing-puing di jalan serta area publik. detikfinance Aceh Tamiang Pulih 357,Aceh Tamiang masih berjuang untuk pulih usai banjir besar akhir tahun lalu. Banjir ini disebut sebagai banjir terparah dalam sejarah. Alat berat dikerahkan untuk membersihkan lumpur tebal dan puing-puing di jalan serta area publik. detikfinance Aceh Tamiang Pulih,Aceh Tamiang masih berjuang untuk pulih usai banjir besar akhir tahun lalu. Banjir ini disebut sebagai banjir terparah dalam sejarah. Alat berat dikerahkan untuk membersihkan lumpur tebal dan puing-puing di jalan serta area publik. detikfinance Aceh Tamiang Pulih,Aceh Tamiang masih berjuang untuk pulih usai banjir besar akhir tahun lalu. Banjir ini disebut sebagai banjir terparah dalam sejarah. Alat berat dikerahkan untuk membersihkan lumpur tebal dan puing-puing di jalan serta area publik. detikfinance Aceh Tamiang Pulih
"@NataliusPigai2 Kalau banjir Aceh, Sumut dan Sumbar tidak segera ditetapkan sebagai bencana nasional dan menerima bantuan dunia untuk mempercepat bantuan kepada korban, hal ini akan mencoreng penegakan HAM di RI. Banjir Aceh: Bayang-bayang kekecewaan masyarakat Aceh dan GAM - BBC News Indonesia 1 145",membalas kalau banjir aceh sumut dan sumbar tidak segera ditetapkan sebagai bencana nasional dan menerima bantuan dunia untuk mempercepat bantuan kepada korban hal ini akan mencoreng penegakan ham di ri banjir aceh bayang bayang kekecewaan masyarakat aceh dan gam bbc news indonesia dari bbc com,2025-12-23,banjir sumbar,balas kalau banjir aceh sumut sumbar segera tetap bencana nasional terima bantu dunia cepat bantu korban coreng tega ham ri banjir aceh bayang bayang kecewa masyarakat aceh gam bbc news indonesia bbc com,negatif,0,,False,"Kalau banjir Aceh, Sumut dan Sumbar tidak segera ditetapkan sebagai bencana nasional dan menerima bantuan dunia untuk mempercepat bantuan kepada korban, hal ini akan mencoreng penegakan HAM di RI. Banjir Aceh: Bayang-bayang kekecewaan masyarakat Aceh dan GAM - BBC News Indonesia 1 145","Kalau banjir Aceh, Sumut dan Sumbar tidak segera ditetapkan sebagai bencana nasional dan menerima bantuan dunia untuk mempercepat bantuan kepada korban, hal ini akan mencoreng penegakan HAM di RI. Banjir Aceh: Bayang-bayang kekecewaan masyarakat Aceh dan GAM - BBC News Indonesia","Kalau banjir Aceh, Sumut dan Sumbar tidak segera ditetapkan sebagai bencana nasional dan menerima bantuan dunia untuk mempercepat bantuan kepada korban, hal ini akan mencoreng penegakan HAM di RI. Banjir Aceh: Bayang-bayang kekecewaan masyarakat Aceh dan GAM - BBC News Indonesia","Kalau banjir Aceh, Sumut dan Sumbar tidak segera ditetapkan sebagai bencana nasional dan menerima bantuan dunia untuk mempercepat bantuan kepada korban, hal ini akan mencoreng penegakan HAM di RI. Banjir Aceh: Bayang-bayang kekecewaan masyarakat Aceh dan GAM - BBC News Indonesia"
Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya. insertlive. Perjuangan Tim Gabungan Mencari Korban Banjir Bandang & Longsor di Sumatra Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya. 281,banjir bandang di sumatra menyebabkan banyak korban jiwa dan kerusakan proses evakuasi terhambat longsor dan putusnya akses jalan tim gabungan terus berupaya insertlive com perjuangan tim gabungan mencari korban banjir bandang longsor di sumatra banjir bandang di sumatra menyebabkan banyak korban jiwa dan kerusakan proses evakuasi terhambat longsor dan putusnya akses jalan tim gabungan terus berupaya,2025-12-02,evakuasi banjir,banjir bandang sumatra sebab banyak korban jiwa rusa proses evakuasi hambat longsor putus akses jalan tim gabung terus upaya insertlive com juang tim gabung cari korban banjir bandang longsor sumatra banjir bandang sumatra sebab banyak korban jiwa rusa proses evakuasi hambat longsor putus akses jalan tim gabung terus upaya,negatif,0,,False,Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya. insertlive. Perjuangan Tim Gabungan Mencari Korban Banjir Bandang & Longsor di Sumatra Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya. 281,Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya. insertlive. Perjuangan Tim Gabungan Mencari Korban Banjir Bandang & Longsor di Sumatra Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya.,Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya. insertlive. Perjuangan Tim Gabungan Mencari Korban Banjir Bandang & Longsor di Sumatra Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya.,Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya. insertlive. Perjuangan Tim Gabungan Mencari Korban Banjir Bandang & Longsor di Sumatra Banjir bandang di Sumatra menyebabkan banyak korban jiwa dan kerusakan. Proses evakuasi terhambat longsor dan putusnya akses jalan. Tim gabungan terus berupaya.
