text,clean_text,created_at,keyword,processed_text,sentimen,label,emoticon,has_truncation,has_mention,has_hashtag,has_url,has_unicode,has_engagement,has_html,llm_completed_text,llm_status,regex_text,processed_text_v2
"Sebuah keluarga di Desa Blang Gleum, Kecamatan Julok, Kabupaten Aceh Timur, terpaksa menyewa alat berat untuk membersihkan lumpur setinggi pinggang yang memenuhi rumah mereka usai banjir. Biaya sewa alat mencapai Rp600 ribu per jam, dengan total biaya sekitar Rp1,2 juta. Seperti 3 980",sebuah keluarga di desa blang gleum kecamatan julok kabupaten aceh timur terpaksa menyewa alat berat untuk membersihkan lumpur setinggi pinggang yang memenuhi rumah mereka usai banjir biaya sewa alat mencapai rp ribu per jam dengan total biaya sekitar rp juta seperti tampilkan lebih banyak,2026-01-11,banjir Aceh,buah keluarga desa blang gleum camat julok kabupaten aceh timur paksa sewa alat berat bersih lumpur setinggi pinggang penuh rumah usai banjir biaya sewa alat capai rp ribu per jam total biaya rp juta tampil lebih banyak,negatif,0,,False,False,False,False,False,True,False,"Sebuah keluarga di Desa Blang Gleum, Kecamatan Julok, Kabupaten Aceh Timur, terpaksa menyewa alat berat untuk membersihkan lumpur setinggi pinggang yang memenuhi rumah mereka usai banjir. Biaya sewa alat mencapai Rp600 ribu per jam, dengan total biaya sekitar Rp1,2 juta. Seperti 3 980",unchanged,"Sebuah keluarga di Desa Blang Gleum, Kecamatan Julok, Kabupaten Aceh Timur, terpaksa menyewa alat berat untuk membersihkan lumpur setinggi pinggang yang memenuhi rumah mereka usai banjir. Biaya sewa alat mencapai Rp600 ribu per jam, dengan total biaya sekitar Rp1, . Seperti","Sebuah keluarga di Desa Blang Gleum, Kecamatan Julok, Kabupaten Aceh Timur, terpaksa menyewa alat berat untuk membersihkan lumpur setinggi pinggang yang memenuhi rumah mereka usai banjir. Biaya sewa alat mencapai Rp600 ribu per jam, dengan total biaya sekitar Rp1, . Seperti"
@therahmalogy @minzukey dan 2 lainnya Justru sumbar banyak orang meninggal penanganan masih lambat bahkan tiktokers Uni bakwan aja ngomong ke pagi pagi ambyar ngomongin tentang banjir sumbar blokk goblokkkk 1 75,membalas dan lainnya justru sumbar banyak orang meninggal penanganan masih lambat bahkan tiktokers uni bakwan aja ngomong ke pagi pagi ambyar ngomongin tentang banjir sumbar blokk goblokkkk,2025-12-23,banjir sumbar,balas lain justru sumbar banyak orang tinggal tangan lambat bahkan tiktokers uni bakwan ngomong pagi pagi ambyar ngomongin banjir sumbar blokk goblokkkk,negatif,0,,False,True,False,False,False,False,False,@therahmalogy @minzukey dan 2 lainnya Justru sumbar banyak orang meninggal penanganan masih lambat bahkan tiktokers Uni bakwan aja ngomong ke pagi pagi ambyar ngomongin tentang banjir sumbar blokk goblokkkk 1 75,unchanged,dan 2 lainnya Justru sumbar banyak orang meninggal penanganan masih lambat bahkan tiktokers Uni bakwan aja ngomong ke pagi pagi ambyar ngomongin tentang banjir sumbar blokk goblokkkk,dan 2 lainnya Justru sumbar banyak orang meninggal penanganan masih lambat bahkan tiktokers Uni bakwan saja mengomong ke pagi pagi ambyar mengomongkan tentang banjir sumbar blokk goblokkkk
"Sumatera Selatan terdampak banjir; rusaknya fasilitas umum dan rumah warga maupun tempat ibadah. Pasca banjir melanda OKU Timur, sahabat-sahabat Banser bergerak cepat membersihkan rumah warga dan tempat ibadah agar kenyamanan warga berteduh dan beribadah tetap terjaga.",sumatera selatan terdampak banjir rusaknya fasilitas umum dan rumah warga maupun tempat ibadah pasca banjir melanda oku timur sahabat sahabat banser bergerak cepat membersihkan rumah warga dan tempat ibadah agar kenyamanan warga berteduh dan beribadah tetap terjaga,2026-01-09,banjir Sumatera Selatan,sumatera selatan dampak banjir rusak fasilitas umum rumah warga maupun tempat ibadah pasca banjir landa oku timur sahabat sahabat banser gerak cepat bersih rumah warga tempat ibadah nyaman warga teduh ibadah tetap jaga,negatif,0,,False,False,False,False,False,False,False,"Sumatera Selatan terdampak banjir; rusaknya fasilitas umum dan rumah warga maupun tempat ibadah. Pasca banjir melanda OKU Timur, sahabat-sahabat Banser bergerak cepat membersihkan rumah warga dan tempat ibadah agar kenyamanan warga berteduh dan beribadah tetap terjaga.",unchanged,"Sumatera Selatan terdampak banjir; rusaknya fasilitas umum dan rumah warga maupun tempat ibadah. Pasca banjir melanda OKU Timur, sahabat-sahabat Banser bergerak cepat membersihkan rumah warga dan tempat ibadah agar kenyamanan warga berteduh dan beribadah tetap terjaga.","Sumatera Selatan terdampak banjir; rusaknya fasilitas umum dan rumah warga maupun tempat ibadah. Pasca banjir melanda OKU Timur, sahabat-sahabat Banser bergerak cepat membersihkan rumah warga dan tempat ibadah agar kenyamanan warga berteduh dan beribadah tetap terjaga."
"ya Allah tadi malem ujan bentar aja airnya uda pada mulai naik lagi dibeberapa tempat, stop dulu hujannya ya Allah :( sebagian tempat banjirnya belum pada surut, degdegan kalo air nya naik lagi 23",ya allah tadi malem ujan bentar aja airnya uda pada mulai naik lagi dibeberapa tempat stop dulu hujannya ya allah sebagian tempat banjirnya belum pada surut degdegan kalo air nya naik lagi,2025-12-03,air naik,allah tadi malem ujan bentar air uda mulai naik beberapa tempat stop dulu hujan allah bagi tempat banjir surut degdegan kalo air naik,negatif,0,,False,False,False,False,False,False,False,"ya Allah tadi malem ujan bentar aja airnya uda pada mulai naik lagi dibeberapa tempat, stop dulu hujannya ya Allah :( sebagian tempat banjirnya belum pada surut, degdegan kalo air nya naik lagi 23",unchanged,"ya Allah tadi malem ujan bentar aja airnya uda pada mulai naik lagi dibeberapa tempat, stop dulu hujannya ya Allah :( sebagian tempat banjirnya belum pada surut, degdegan kalo air nya naik lagi","ya Allah tadi malam ujan bentar saja airnya sudah pada mulai naik lagi dibeberapa tempat, stop dulu hujannya ya Allah :( sebagian tempat banjirnya belum pada surut, degdegan kalo air nya naik lagi"
@Aceh @humasaceh dan 3 lainnya Seburuk-buruknya manusia adalah yang menimbun logistik ketika bencana. Laknat Allah untuk kalian para penimbun. 7 42,membalas dan lainnya seburuk buruknya manusia adalah yang menimbun logistik ketika bencana laknat allah untuk kalian para penimbun rb,2026-01-13,BNPB,balas lain buruk buruk manusia timbun logistik bencana laknat allah kalian timbun ,negatif,0,,False,True,False,False,False,False,False,@Aceh @humasaceh dan 3 lainnya Seburuk-buruknya manusia adalah yang menimbun logistik ketika bencana. Laknat Allah untuk kalian para penimbun. 7 42,unchanged,dan 3 lainnya Seburuk-buruknya manusia adalah yang menimbun logistik ketika bencana. Laknat Allah untuk kalian para penimbun.,dan 3 lainnya Seburuk-buruknya manusia adalah yang menimbun logistik ketika bencana. Laknat Allah untuk kalian para penimbun.
@Nurulygkaukenal @BNPB_Indonesia jangan klaim lagi ya klo itu Hanya banjir dihebohkan hanya di medsos 2 31,membalas jangan klaim lagi ya klo itu hanya banjir dihebohkan hanya di medsos,2025-12-27,banjir lagi ya,balas jangan klaim klo banjir heboh medsos,negatif,0,,False,True,False,False,False,False,False,@Nurulygkaukenal @BNPB_Indonesia jangan klaim lagi ya klo itu Hanya banjir dihebohkan hanya di medsos 2 31,unchanged,jangan klaim lagi ya klo itu Hanya banjir dihebohkan hanya di medsos,jangan klaim lagi ya kalo itu Hanya banjir dihebohkan hanya di medsos
"Aceh Tamiang seperti kota zombi.” Gelap, sunyi, hanya air banjir yang bergerak. Aroma tak sedap mulai tercium di beberapa titik. Situasi darurat, evakuasi dan pencarian terus berlangsung #AcehTamiang #PresidenPrabowo #AmandaZahra #bnpbliveupdate #PercepatanPemulihan #Senin 16",aceh tamiang seperti kota zombi gelap sunyi hanya air banjir yang bergerak aroma tak sedap mulai tercium di beberapa titik situasi darurat evakuasi dan pencarian terus berlangsung acehtamiang presidenprabowo amandazahra bnpbliveupdate percepatanpemulihan senin,2025-12-08,evakuasi banjir,aceh tamiang kota zombi gelap sunyi air banjir gerak aroma tak sedap mulai cium beberapa titik situasi darurat evakuasi cari terus langsung acehtamiang presidenprabowo amandazahra bnpbliveupdate percepatanpemulihan senin,negatif,0,,False,False,True,False,False,False,False,"Aceh Tamiang seperti kota zombi.” Gelap, sunyi, hanya air banjir yang bergerak. Aroma tak sedap mulai tercium di beberapa titik. Situasi darurat, evakuasi dan pencarian terus berlangsung #AcehTamiang #PresidenPrabowo #AmandaZahra #bnpbliveupdate #PercepatanPemulihan #Senin 16",unchanged,"Aceh Tamiang seperti kota zombi.” Gelap, sunyi, hanya air banjir yang bergerak. Aroma tak sedap mulai tercium di beberapa titik. Situasi darurat, evakuasi dan pencarian terus berlangsung AcehTamiang PresidenPrabowo AmandaZahra bnpbliveupdate PercepatanPemulihan Senin","Aceh Tamiang seperti kota zombi.” Gelap, sunyi, hanya air banjir yang bergerak. Aroma tidak sedap mulai tercium di beberapa titik. Situasi darurat, evakuasi dan pencarian terus berlangsung AcehTamiang PresidenPrabowo AmandaZahra bnpbliveupdate PercepatanPemulihan Senin"
Akun parodi Kesaksian Korban selamat banjir bandang di Palembayan Sumbar Kayu² yang hanyut mengeluarkan asap hitam pekat dan bergemuruh ( mungkin panas karena kayu saling bergesekan ) dilakosi bencana Total 18 rumah 16 rumah lenyap tanpa bekas 53 meninggal 11 hilang 46 63,akun parodi kesaksian korban selamat banjir bandang di palembayan sumbar kayu yang hanyut mengeluarkan asap hitam pekat dan bergemuruh mungkin panas karena kayu saling bergesekan dilakosi bencana total rumah rumah lenyap tanpa bekas meninggal hilang rb,2025-12-26,banjir sumbar,akun parodi saksi korban selamat banjir bandang palembayan sumbar kayu hanyut keluar asap hitam pekat gemuruh mungkin panas kayu saling gesek dilakosi bencana total rumah rumah lenyap bekas tinggal hilang ,negatif,0,,False,False,False,False,False,False,False,Akun parodi Kesaksian Korban selamat banjir bandang di Palembayan Sumbar Kayu² yang hanyut mengeluarkan asap hitam pekat dan bergemuruh ( mungkin panas karena kayu saling bergesekan ) dilakosi bencana Total 18 rumah 16 rumah lenyap tanpa bekas 53 meninggal 11 hilang 46 63,unchanged,Akun parodi Kesaksian Korban selamat banjir bandang di Palembayan Sumbar Kayu2 yang hanyut mengeluarkan asap hitam pekat dan bergemuruh ( mungkin panas karena kayu saling bergesekan ) dilakosi bencana Total 18 rumah 16 rumah lenyap tanpa bekas 53 meninggal 11 hilang,Akun parodi Kesaksian Korban selamat banjir bandang di Palembayan Sumbar Kayu2 yang hanyut mengeluarkan asap hitam pekat dan bergemuruh ( mungkin panas karena kayu saling bergesekan ) dilakosi bencana Total 18 rumah 16 rumah lenyap tanpa bekas 53 meninggal 11 hilang
"ya allah, aku tinggal disini baru kali ini ngerasain banjir segede itu meskipun ga masuk rumah, jujur makin takut kalo airnya makin naik :(( 66",ya allah aku tinggal disini baru kali ini ngerasain banjir segede itu meskipun ga masuk rumah jujur makin takut kalo airnya makin naik,2026-01-12,banjir masuk rumah,allah aku tinggal sini baru kali ngerasain banjir gede meski ga masuk rumah jujur makin takut kalo air makin naik,negatif,0,,False,False,False,False,False,False,False,"ya allah, aku tinggal disini baru kali ini ngerasain banjir segede itu meskipun ga masuk rumah, jujur makin takut kalo airnya makin naik :(( 66",unchanged,"ya allah, aku tinggal disini baru kali ini ngerasain banjir segede itu meskipun ga masuk rumah, jujur makin takut kalo airnya makin naik :((","ya allah, aku tinggal disini baru kali ini merasai banjir segede itu meskipun tidak masuk rumah, jujur makin takut kalo airnya makin naik :(("
Awal November diawalin kebahagiaan karna wisuda Pertengahan November jatuh sakit Akhir November duka karna bencana alam banjir terbesar yg ku alami selama ini semoga bencana di Pulau Sumatera segera di tetapkan menjadi bencana Nasional #PrayForSumatera 1 126,awal november diawalin kebahagiaan karna wisuda pertengahan november jatuh sakit akhir november duka karna bencana alam banjir terbesar yg ku alami selama ini semoga bencana di pulau sumatera segera di tetapkan menjadi bencana nasional prayforsumatera,2025-12-08,#PrayForSumatera,awal november diawalin bahagia karna wisuda tengah november jatuh sakit akhir november duka karna bencana alam banjir besar ku alami lama moga bencana pulau sumatera segera tetap jadi bencana nasional prayforsumatera,negatif,0,,False,False,True,False,False,False,False,Awal November diawalin kebahagiaan karna wisuda Pertengahan November jatuh sakit Akhir November duka karna bencana alam banjir terbesar yg ku alami selama ini semoga bencana di Pulau Sumatera segera di tetapkan menjadi bencana Nasional #PrayForSumatera 1 126,unchanged,Awal November diawalin kebahagiaan karna wisuda Pertengahan November jatuh sakit Akhir November duka karna bencana alam banjir terbesar yg ku alami selama ini semoga bencana di Pulau Sumatera segera di tetapkan menjadi bencana Nasional PrayForSumatera,Awal November diawalin kebahagiaan karena wisuda Pertengahan November jatuh sakit Akhir November duka karena bencana alam banjir terbesar yang ku alami selama ini semoga bencana di Pulau Sumatera segera di tetapkan menjadi bencana Nasional PrayForSumatera
"Apakah ini Aceh? No. Sumbar? No. Sibolga? No. Ini di Kalimantan Selatan. Deforestasi besar2an seluruh daerah akan rawan banjir dan longsor. Yg panen cuan pengusaha tambang, Kayu dan Perkebunan. Rugi besar Negara dan Rakyatnya. Putus kita @prabowo , putus! 5 7 613",apakah ini aceh no sumbar no sibolga no ini di kalimantan selatan deforestasi besar an seluruh daerah akan rawan banjir dan longsor yg panen cuan pengusaha tambang kayu dan perkebunan rugi besar negara dan rakyatnya putus kita putus,2025-12-27,banjir sumbar,aceh no sumbar no sibolga no kalimantan selatan deforestasi besar an seluruh daerah rawan banjir longsor panen cuan usaha tambang kayu kebun rugi besar negara rakyat putus putus,negatif,0,,False,True,False,False,False,False,False,"Apakah ini Aceh? No. Sumbar? No. Sibolga? No. Ini di Kalimantan Selatan. Deforestasi besar2an seluruh daerah akan rawan banjir dan longsor. Yg panen cuan pengusaha tambang, Kayu dan Perkebunan. Rugi besar Negara dan Rakyatnya. Putus kita @prabowo , putus! 5 7 613",unchanged,"Apakah ini Aceh? No. Sumbar? No. Sibolga? No. Ini di Kalimantan Selatan. Deforestasi besar2an seluruh daerah akan rawan banjir dan longsor. Yg panen cuan pengusaha tambang, Kayu dan Perkebunan. Rugi besar Negara dan Rakyatnya. Putus kita , putus!","Apakah ini Aceh? No. Sumbar? No. Sibolga? No. Ini di Kalimantan Selatan. Deforestasi besar-besaran seluruh daerah akan rawan banjir dan longsor. Yang panen cuan pengusaha tambang, Kayu dan Perkebunan. Rugi besar Negara dan Rakyatnya. Putus kita , putus!"
Projo Peduli Bencana Setia Digaris Rakyat bersama Budi Arie Setiadi bergerak cepat membantu korban banjir di Sumatera dan mendukung kerja pemerintah Presiden Prabowo membangun kembali harapan rakyat Projo Ajak Publik Bersatu Hadapi Banjir Besar di Sumatera 20,projo peduli bencana setia digaris rakyat bersama budi arie setiadi bergerak cepat membantu korban banjir di sumatera dan mendukung kerja pemerintah presiden prabowo membangun kembali harapan rakyat projo ajak publik bersatu hadapi banjir besar di sumatera dari gonews co id,2025-12-18,banjir besar,projo peduli bencana setia gar rakyat sama budi arie setiadi gerak cepat bantu korban banjir sumatera dukung kerja perintah presiden prabowo bangun harap rakyat projo ajak publik satu hadap banjir besar sumatera gonews co id,negatif,0,,False,False,False,False,False,False,False,Projo Peduli Bencana Setia Digaris Rakyat bersama Budi Arie Setiadi bergerak cepat membantu korban banjir di Sumatera dan mendukung kerja pemerintah Presiden Prabowo membangun kembali harapan rakyat Projo Ajak Publik Bersatu Hadapi Banjir Besar di Sumatera 20,unchanged,Projo Peduli Bencana Setia Digaris Rakyat bersama Budi Arie Setiadi bergerak cepat membantu korban banjir di Sumatera dan mendukung kerja pemerintah Presiden Prabowo membangun kembali harapan rakyat Projo Ajak Publik Bersatu Hadapi Banjir Besar di Sumatera,Projo Peduli Bencana Setia Digaris Rakyat bersama Budi Arie Setiadi bergerak cepat membantu korban banjir di Sumatera dan mendukung kerja pemerintah Presiden Prabowo membangun kembali harapan rakyat Projo Ajak Publik Bersatu Hadapi Banjir Besar di Sumatera
"Kerusakan lahan hutan di daerah sepenuhnya menjadi tanggung jawab pusat,Krn yang memberi izin pertambangan,perkebunan,penebambangan kayu adalah kementrian bukan pejabat daerah. #PrayForSumatera @DPR_RI #Melayubersatu @prabowo #Orangsumatera #RakyatIndonesia 39",kerusakan lahan hutan di daerah sepenuhnya menjadi tanggung jawab pusat krn yang memberi izin pertambangan perkebunan penebambangan kayu adalah kementrian bukan pejabat daerah prayforsumatera melayubersatu orangsumatera rakyatindonesia,2025-12-07,#PrayForSumatera,rusa lahan hutan daerah sepenuh jadi tanggung jawab pusat krn beri izin tambang kebun penebambangan kayu tri bukan jabat daerah prayforsumatera melayubersatu orangsumatera rakyatindonesia,negatif,0,,False,True,True,False,False,False,False,"Kerusakan lahan hutan di daerah sepenuhnya menjadi tanggung jawab pusat,Krn yang memberi izin pertambangan,perkebunan,penebambangan kayu adalah kementrian bukan pejabat daerah. #PrayForSumatera @DPR_RI #Melayubersatu @prabowo #Orangsumatera #RakyatIndonesia 39",unchanged,"Kerusakan lahan hutan di daerah sepenuhnya menjadi tanggung jawab pusat,Krn yang memberi izin pertambangan,perkebunan,penebambangan kayu adalah kementrian bukan pejabat daerah. PrayForSumatera Melayubersatu Orangsumatera RakyatIndonesia","Kerusakan lahan hutan di daerah sepenuhnya menjadi tanggung jawab pusat,Krn yang memberi izin pertambangan,perkebunan,penebambangan kayu adalah kementrian bukan pejabat daerah. PrayForSumatera Melayubersatu Orangsumatera RakyatIndonesia"
"Ttg Bencana Banjir Serta Longsor Sumatra Gw Setuju Hukuman MATI Bagi Orang2 yg Sudah MENYEBABKAN ini Terjadi (Oligarchy, Elites Capitalist) Ajaran Islam (Allah) pun Mengizinkan Orang2 yg Penyebab KERUSAKAN dimuka Bumi Untuk di HUKUM Mati! 206",ttg bencana banjir serta longsor sumatra gw setuju hukuman mati bagi orang yg sudah menyebabkan ini terjadi oligarchy elites capitalist ajaran islam allah pun mengizinkan orang yg penyebab kerusakan dimuka bumi untuk di hukum mati,2025-12-01,Penyebab Banjir Sumatra,ttg bencana banjir longsor sumatra gw tuju hukum mati orang sebab jadi oligarchy elites capitalist ajar islam allah izin orang sebab rusa muka bumi hukum mati,negatif,0,,False,False,False,False,False,False,False,"Ttg Bencana Banjir Serta Longsor Sumatra Gw Setuju Hukuman MATI Bagi Orang2 yg Sudah MENYEBABKAN ini Terjadi (Oligarchy, Elites Capitalist) Ajaran Islam (Allah) pun Mengizinkan Orang2 yg Penyebab KERUSAKAN dimuka Bumi Untuk di HUKUM Mati! 206",unchanged,"Ttg Bencana Banjir Serta Longsor Sumatra Gw Setuju Hukuman MATI Bagi Orang2 yg Sudah MENYEBABKAN ini Terjadi (Oligarchy, Elites Capitalist) Ajaran Islam (Allah) pun Mengizinkan Orang2 yg Penyebab KERUSAKAN dimuka Bumi Untuk di HUKUM Mati!","Tentang Bencana Banjir Serta Longsor Sumatra Saya Setuju Hukuman MATI Bagi Orang-orang yang Sudah MENYEBABKAN ini Terjadi (Oligarchy, Elites Capitalist) Ajaran Islam (Allah) pun Mengizinkan Orang-orang yang Penyebab KERUSAKAN dimuka Bumi Untuk di HUKUM Mati!"
Kementerian PU kirim alat berat untuk bersihkan lumpur pasca bencana di Aceh. Bukti pemerintah hadir. #Sumatera #Aceh #Sumut #Sumbar #Banjir 30,kementerian pu kirim alat berat untuk bersihkan lumpur pasca bencana di aceh bukti pemerintah hadir sumatera aceh sumut sumbar banjir,2026-01-11,banjir Aceh,menteri pu kirim alat berat sih lumpur pasca bencana aceh bukti perintah hadir sumatera aceh sumut sumbar banjir,positif,2,,False,False,True,False,False,False,False,Kementerian PU kirim alat berat untuk bersihkan lumpur pasca bencana di Aceh. Bukti pemerintah hadir. #Sumatera #Aceh #Sumut #Sumbar #Banjir 30,unchanged,Kementerian PU kirim alat berat untuk bersihkan lumpur pasca bencana di Aceh. Bukti pemerintah hadir. Sumatera Aceh Sumut Sumbar Banjir,Kementerian PUNYA kirim alat berat untuk bersihkan lumpur pasca bencana di Aceh. Bukti pemerintah hadir. Sumatera Aceh Sumut Sumbar Banjir
"Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam 22",akhir pencarian guru silat kehilangan istri dan anak saat banjir di agam akhir pencarian guru silat kehilangan istri dan anak saat banjir di agam dari sumsel idntimes com,2025-12-08,banjir Sumatera Selatan,akhir cari guru silat hilang istri anak banjir agam akhir cari guru silat hilang istri anak banjir agam sumsel idntimes com,positif,2,,False,False,False,False,False,False,False,"Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam 22",unchanged,"Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam","Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam Akhir Pencarian Guru Silat, Kehilangan Istri dan Anak saat Banjir di Agam"
@DS_yantie Harus kaya banjir nabi Nuh atau Tsunami aceh viar masuk bencana nasional kalau bisa sampai rumah bapaknya rubuh gaes Makin tua gak ada empati2nya. Bubar aja lah ini negara 151,membalas harus kaya banjir nabi nuh atau tsunami aceh viar masuk bencana nasional kalau bisa sampai rumah bapaknya rubuh gaes makin tua gak ada empati nya bubar aja lah ini negara,2025-11-30,banjir masuk rumah,balas kaya banjir nabi nuh tsunami aceh viar masuk bencana nasional kalau rumah bapak rubuh gaes makin tua gak empati bubar lah negara,negatif,0,,False,True,False,False,False,False,False,@DS_yantie Harus kaya banjir nabi Nuh atau Tsunami aceh viar masuk bencana nasional kalau bisa sampai rumah bapaknya rubuh gaes Makin tua gak ada empati2nya. Bubar aja lah ini negara 151,unchanged,Harus kaya banjir nabi Nuh atau Tsunami aceh viar masuk bencana nasional kalau bisa sampai rumah bapaknya rubuh gaes Makin tua gak ada empati2nya. Bubar aja lah ini negara,Harus kayak banjir nabi Nuh atau Tsunami aceh viar masuk bencana nasional kalau bisa sampai rumah bapaknya rubuh gaes Makin tua enggak ada empati2nya. Bubar saja lah ini negara
@NurLaeli1489218 dan @kemendagri Aamiin YRA Semoga Aceh Sumut segera bangkit 5,membalas dan aamiin yra semoga aceh sumut segera bangkit,2026-01-08,Aceh,balas aamiin yra moga aceh sumut segera bangkit,positif,2,,False,True,False,False,False,False,False,@NurLaeli1489218 dan @kemendagri Aamiin YRA Semoga Aceh Sumut segera bangkit 5,unchanged,dan Aamiin YRA Semoga Aceh Sumut segera bangkit,dan Amin YRA Semoga Aceh Sumut segera bangkit
"dari awal banjir yg di sumatera sama aceh, gue beneran samsek ga berani ngeliat video banjir nya, cuma liat berita yg seliweran doang, terus sekarang beraniin diri buat ngeliat video2 banjir nya, langsung sesenggukan gue yaAllah gue tau banget rasanya kebanjiran separah itu 24",dari awal banjir yg di sumatera sama aceh gue beneran samsek ga berani ngeliat video banjir nya cuma liat berita yg seliweran doang terus sekarang beraniin diri buat ngeliat video banjir nya langsung sesenggukan gue yaallah gue tau banget rasanya kebanjiran separah itu,2025-12-07,banjir terus,awal banjir sumatera sama aceh gue beneran samsek ga berani ngeliat video banjir cuma liat berita seliwer doang terus sekarang beraniin diri buat ngeliat video banjir langsung sengguk gue yaallah gue tau banget rasa banjir parah,negatif,0,,False,False,False,False,False,False,False,"dari awal banjir yg di sumatera sama aceh, gue beneran samsek ga berani ngeliat video banjir nya, cuma liat berita yg seliweran doang, terus sekarang beraniin diri buat ngeliat video2 banjir nya, langsung sesenggukan gue yaAllah gue tau banget rasanya kebanjiran separah itu 24",unchanged,"dari awal banjir yg di sumatera sama aceh, gue beneran samsek ga berani ngeliat video banjir nya, cuma liat berita yg seliweran doang, terus sekarang beraniin diri buat ngeliat video2 banjir nya, langsung sesenggukan gue yaAllah gue tau banget rasanya kebanjiran separah itu","dari awal banjir yang di sumatera sama aceh, saya benaran samsek tidak berani melihat video banjir nya, cuma lihat berita yang seliweran doang, terus sekarang beraniin diri buat melihat video2 banjir nya, langsung sesenggukan saya yaAllah saya tau banget rasanya kebanjiran separah itu"
